cod_cnuc,mean,na_rows,total_days,pa_name_cnuc,en_wkname
0000.00.0142,6.782908339076499,0,1451,PARQUE NACIONAL DA SERRA DA BOCAINA,Serra da Bocaina National Park
0000.00.0143,3.669193659545141,0,1451,PARQUE NACIONAL DA SERRA DA BODOQUENA,Serra da Bodoquena National Park
0000.00.0144,9.654031702274294,0,1451,PARQUE NACIONAL DA SERRA DA CANASTRA,Serra da Canastra National Park
0000.00.0145,31.12474155754652,0,1451,PARQUE NACIONAL DA SERRA DA CAPIVARA,Serra da Capivara National Park
0000.00.0146,2.4670280036133696,0,1107,PARQUE NACIONAL SERRA DAS CONFUSÕES,Serra das Confusões National Park
0000.00.0147,3.2929014472777394,0,1451,PARQUE NACIONAL DA SERRA DE ITABAIANA,Serra de Itabaiana National Park
0000.00.0148,6.8966230186078565,0,1451,PARQUE NACIONAL DA SERRA DO CIPÓ,Serra do Cipó National Park
0000.00.0149,5.32184700206754,0,1451,PARQUE NACIONAL DA SERRA DO DIVISOR,Serra do Divisor National Park
0000.00.0150,4.330344827586207,1,1451,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Serra do Itajaí National Park
0000.00.0151,1.6133700895933838,0,1451,PARQUE NACIONAL DA SERRA DO PARDO,Serra do Pardo National Park
0000.00.0152,21.738111647139903,0,1451,PARQUE NACIONAL DA SERRA DOS ORGÃOS,Serra dos Órgãos National Park
0000.00.0153,4.839421088904204,0,1451,PARQUE NACIONAL DA SERRA GERAL,Serra Geral National Park
0000.00.0154,72.7263955892488,0,1451,PARQUE NACIONAL DA TIJUCA,Tijuca Forest
0000.00.0155,11.123363197794625,0,1451,PARQUE NACIONAL DAS EMAS,Emas National Park
0000.00.0156,3.2053756030323917,0,1451,PARQUE NACIONAL DAS NASCENTES DO RIO PARNAIBA,Nascentes do Rio Parnaíba National Park
0000.00.0157,1.824948311509304,0,1451,PARQUE NACIONAL DAS SEMPRE VIVAS,Sempre Vivas National Park
0000.00.0158,8.765678842177808,0,1451,PARQUE NACIONAL DE APARADOS DA SERRA,Aparados da Serra National Park
0000.00.0159,5.931771192281185,0,1451,PARQUE NACIONAL DE BRASÍLIA,Brasília National Park
0000.00.0160,5.421088904203997,0,1451,PARQUE NACIONAL DE CAPARAO,Caparaó National Park
0000.00.0161,3.0516884906960717,0,1451,PARQUE NACIONAL DE ILHA GRANDE,Ilha Grande National Park
0000.00.0162,13.716747070985527,0,1451,PARQUE NACIONAL DE JERICOACOARA,Jericoacoara National Park
0000.00.0163,2.8566505858028948,0,1451,PARQUE NACIONAL DE PACAÁS NOVOS,Pacaás Novos National Park
0000.00.0164,1.4913852515506547,0,1451,PARQUE NACIONAL DE SAINT-HILAIRE/LANGE,Saint-Hilaire/Lange National Park
0000.00.0165,2.5995864920744314,0,1451,PARQUE NACIONAL DE SÃO JOAQUIM,São Joaquim National Park
0000.00.0166,4.962095106822881,0,1451,PARQUE NACIONAL DE SETE CIDADES,Sete Cidades National Park
0000.00.0167,2.8056512749827704,0,1451,PARQUE NACIONAL DE UBAJARA,Ubajara National Park
0000.00.0168,5.81736733287388,0,1451,PARQUE NACIONAL DO ARAGUAIA,Araguaia National Park
0000.00.0169,3.7112336319779464,0,1451,PARQUE NACIONAL DO CABO ORANGE,Cabo Orange National Park
0000.00.0170,2.4610613370089593,0,1451,PARQUE NACIONAL DO CATIMBAU,Catimbau National Park
0000.00.0171,1.6847335140018067,1,1108,PARQUE NACIONAL DO DESCOBRIMENTO,Descobrimento National Park
0000.00.0172,36.79048931771192,0,1451,PARQUE NACIONAL DO IGUAÇU,Iguaçu National Park
0000.00.0173,13.272226050999311,0,1451,PARQUE NACIONAL DO JAÚ,Jaú National Park
0000.00.0174,8.381424706943193,0,1109,PARQUE NACIONAL DO MONTE RORAIMA,Monte Roraima National Park
0000.00.0175,8.751895244658856,0,1451,PARQUE NACIONAL DO PANTANAL MATOGROSSENSE,Pantanal Matogrossense National Park
0000.00.0176,2.1068228807718814,0,1451,PARQUE NACIONAL PAU BRASIL,Pau Brasil National Park
0000.00.0177,6.832529290144728,0,1451,PARQUE NACIONAL DO PICO DA NEBLINA,Pico da Neblina National Park
0000.00.0178,1.813921433494142,0,1451,PARQUE NACIONAL DO SUPERAGUI,Superagüi National Park
0000.00.0179,1.5410062026188835,0,1451,PARQUE NACIONAL VIRUÁ,Viruá National Park
0000.00.0180,262.08545830461753,0,1451,PARQUE NACIONAL DOS LENÇOIS MARANHENSES,Lençóis Maranhenses National Park
0000.00.0181,0.3802622498274672,2,1451,MONUMENTO NATURAL DOS PONTÕES CAPIXABAS,Pontões Capixabas Natural Monument
0000.00.0182,2.180227471566054,0,1143,PARQUE NACIONAL DO MONTE PASCOAL,Monte Pascoal National Park
0000.00.0183,4.820813232253618,0,1451,PARQUE NACIONAL GRANDE SERTÃO VEREDAS,Grande Sertão Veredas National Park
0000.00.0184,10.700206753962783,0,1451,PARQUE NACIONAL DO ITATIAIA,Itatiaia National Park
0000.00.0185,9.200551343900758,0,1451,PARQUE NACIONAL MARINHO DOS ABROLHOS,Abrolhos Marine National Park
0000.00.0186,2.790489317711923,0,1451,PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA,Fernando de Noronha Marine National Park
0000.00.0187,6.758787043418332,0,1451,PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE,Tumucumaque Mountains National Park
0000.00.0188,1.228118538938663,0,1451,PARQUE NACIONAL DA SERRA DA CUTIA,Serra da Cutia National Park
0000.00.0189,1.7401791867677463,0,1451,PARQUE NACIONAL SERRA DA MOCIDADE,Serra da Mocidade National Park
0000.00.0190,2.7732598208132324,0,1451,REFUGIO DE VIDA SILVESTRE ILHA DOS LOBOS,Ilha dos Lobos
0000.00.0191,1.3900758097863541,0,1451,RESERVA BIOLÓGICA AUGUSTO RUSCHI,Augusto Ruschi Biological Reserve
0000.00.0192,0.6017857142857143,1,1121,RESERVA BIOLÓGICA DA CONTAGEM,Contagem Biological Reserve
0000.00.0193,0.6226415094339622,0,848,RESERVA BIOLÓGICA DA MATA ESCURA,Mata Escura Biological Reserve
0000.00.0194,1.5286009648518264,0,1451,RESERVA BIOLÓGICA DO ABUFARI,Abufari Biological Reserve
0000.00.0195,0.7386206896551725,1,1451,RESERVA BIOLÓGICA DE COMBOIOS,Comboios Biological Reserve
0000.00.0196,0.6303448275862069,1,1451,RESERVA BIOLÓGICA GUARIBAS,Guaribas Biological Reserve
0000.00.0197,1.1379310344827587,1,1451,RESERVA BIOLOGICA DE PEDRA TALHADA,Pedra Talhada Biological Reserve
0000.00.0198,0.7910344827586206,1,1451,RESERVA BIOLÓGICA DE SALTINHO,Saltinho Biological Reserve
0000.00.0199,0.7374224672639559,0,1451,RESERVA BIOLÓGICA DE SANTA ISABEL,Santa Isabel Biological Reserve
0000.00.0200,0.844934527911785,0,1451,RESERVA BIOLÓGICA DE SERRA NEGRA,Serra Negra Biological Reserve
0000.00.0201,1.5975189524465885,0,1451,RESERVA BIOLÓGICA DE SOORETAMA,Sooretama
0000.00.0202,1.3501033769813922,0,1451,RESERVA BIOLÓGICA DE UNA,Una Biological Reserve
0000.00.0203,2.4934527911784974,0,1451,RESERVA BIOLÓGICA ATOL DAS ROCAS,Atol das Rocas Biological Reserve
0000.00.0204,0.6719503790489317,0,1451,RESERVA BIOLÓGICA DO CÓRREGO DO VEADO,Córrego do Veado Biological Reserve
0000.00.0205,0.7146795313576844,0,1451,RESERVA BIOLÓGICA DO CÓRREGO GRANDE,Córrego Grande Biological Reserve
0000.00.0206,1.1124137931034483,1,1451,RESERVA BIOLÓGICA DO GUAPORÉ,Guaporé Biological Reserve
0000.00.0207,1.1957270847691248,0,1451,RESERVA BIOLÓGICA DO GURUPI,Gurupi Biological Reserve
0000.00.0208,0.8911095796002757,0,1451,RESERVA BIOLÓGICA DO JARU,Jaru Biological Reserve
0000.00.0209,0.8110344827586207,1,1451,RESERVA BIOLÓGICA DO LAGO PIRATUBA,Lago Piratuba Biological Reserve
0000.00.0210,0.9441764300482426,0,1451,RESERVA BIOLÓGICA DO RIO TROMBETAS,Rio Trombetas Biological Reserve
0000.00.0211,0.7126119917298415,0,1451,RESERVA BIOLÓGICA DO TAPIRAPÉ,Tapirapé Biological Reserve
0000.00.0212,2.188146106133701,0,1451,RESERVA BIOLÓGICA DO TINGUÁ,Tinguá Biological Reserve
0000.00.0213,1.724328049620951,0,1451,RESERVA BIOLÓGICA DO UATUMÃ,Uatumã Biological Reserve
0000.00.0214,0.7732598208132323,0,1451,RESERVA BIOLÓGICA MARINHA DO ARVOREDO,Arvoredo Marine Biological Reserve
0000.00.0215,4.661612680909718,0,1451,RESERVA BIOLÓGICA DE POÇO DAS ANTAS,Poço das Antas Biological Reserve
0000.00.0216,1.0928571428571427,0,1120,RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO,Nascentes da Serra do Cachimbo Biological Reserve
