Código UNEP-WCMC (World Conservation Monitoring Centre),codCnuc,Nome do Órgão Gestor,Nome da UC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN (União Internacional para a Conservação da Natureza e dos Recursos Naturais),Municípios Abrangidos,Em conformidade com o SNUC,Estados Abrangidos,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,esferaAdmin,siglaGrupo,UF,municipios,biomaIbge,biomaCrl,coordRegional,unidOrg,codCnucOld,linkOld,nomeUCOld,siglaNomeUCOld,siglaUCOld,nomeClasseOld,grupoOld,anoCriacaoOld,atoLegalOld,"DS_HISTO10,C,254Old",nomeCoordenacaoOld
 ,0000.26.3302 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFúGIO DE VIDA SILVESTRE MATA DO QUIZANGA ,Estadual ,Refúgio de Vida Silvestre ,Category III ,São Lourenço da Mata (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3303 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFúGIO DE VIDA SILVESTRE MATA DO CURADO ,Estadual ,Refúgio de Vida Silvestre ,Category III ,Recife (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3304 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFúGIO DE VIDA SILVESTRE MATA SãO JOãO DA VáRZEA ,Estadual ,Refúgio de Vida Silvestre ,Category III ,Recife (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3308 ,Agência Estadual do Meio Ambiente de Pernambuco ,PARQUE ESTADUAL MATA DE DUAS LAGOAS ,Estadual ,Parque ,Category II ,Cabo de Santo Agostinho (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3312 ,Agência Estadual do Meio Ambiente de Pernambuco ,ESTAÇÃO ECOLÓGICA SERRA DA CANOA ,Estadual ,Estação Ecológica ,Category Ia ,Floresta (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3313 ,Agência Estadual do Meio Ambiente de Pernambuco ,MONUMENTO NATURAL PEDRA DO CACHORRO ,Estadual ,Monumento Natural ,Category III ,"Brejo da Madre de Deus (PE), São Caitano (PE), Tacaimbó (PE) ",Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3314 ,Agência Estadual do Meio Ambiente de Pernambuco ,ESTAÇÃO ECOLOGICA BITA E UTINGA ,Estadual ,Estação Ecológica ,Category Ia ,"Cabo de Santo Agostinho (PE), Ipojuca (PE) ",Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3315 ,Agência Estadual do Meio Ambiente de Pernambuco ,PARQUE ESTADUAL SERRA DO AREAL ,Estadual ,Parque ,Category II ,Petrolina (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3316 ,Agência Estadual do Meio Ambiente de Pernambuco ,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO IPOJUCA-MEREPE ,Estadual ,Área de Relevante Interesse Ecológico ,Category IV ,Ipojuca (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3317 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFÚGIO DE VIDA SILVESTRE MATAS DE SIRIJI ,Estadual ,Refúgio de Vida Silvestre ,Category III ,São Vicente Ferrer (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3318 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFúGIO DA VIDA SILVESTRE TATU-BOLA ,Estadual ,Refúgio de Vida Silvestre ,Category III ,"Lagoa Grande (PE), Petrolina (PE), Santa Maria da Boa Vista (PE) ",Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3320 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFúGIO DA VIDA SILVESTRE RIACHO PONTAL ,Estadual ,Refúgio de Vida Silvestre ,Category III ,Petrolina (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3322 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFúGIO DE VIDA SILVESTRE MATA DO OUTEIRO DO PEDRO ,Estadual ,Refúgio de Vida Silvestre ,Category III ,"São Lourenço da Mata (PE), Vitória de Santo Antão (PE) ",Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3328 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFúGIO DA VIDA SILVESTRE MATA DO ENGENHO SALGADINHO ,Estadual ,Refúgio de Vida Silvestre ,Category III ,Jaboatão dos Guararapes (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3330 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFúGIO DA VIDA SILVESTRE MATA DO ENGENHO UCHôA ,Estadual ,Refúgio de Vida Silvestre ,Category III ,Recife (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.26.3395 ,Agência Estadual do Meio Ambiente de Pernambuco ,REFúGIO DA VIDA SILVESTRE MATA DO TORÓ ,Estadual ,Refúgio de Vida Silvestre ,Category III ,São Lourenço da Mata (PE) ,Sim ,PE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.0887 ,Instituto do Meio Ambiente de Alagoas ,ÁREA DE PROTEÇÃO AMBIENTAL DE SANTA RITA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Coqueiro Seco (AL), Marechal Deodoro (AL), Maceió (AL) ",Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.0920 ,Instituto do Meio Ambiente de Alagoas ,ÁREA DE PROTEÇÃO AMBIENTAL DO CATOLÉ E FERNÃO VELHO ,Estadual ,Área de Proteção Ambiental ,Category V ,"Coqueiro Seco (AL), Maceió (AL), Rio Largo (AL), Santa Luzia do Norte (AL), Satuba (AL) ",Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.0921 ,Instituto do Meio Ambiente de Alagoas ,ÁREA DE PROTEÇÃO AMBIENTAL DA MARITUBA DO PEIXE ,Estadual ,Área de Proteção Ambiental ,Category V ,"Piaçabuçu (AL), Penedo (AL), Feliz Deserto (AL) ",Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.0922 ,Instituto do Meio Ambiente de Alagoas ,ÁREA DE PROTEÇÃO AMBIENTAL DO PRATAGY ,Estadual ,Área de Proteção Ambiental ,Category V ,"Messias (AL), Maceió (AL), Rio Largo (AL) ",Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.0923 ,Instituto do Meio Ambiente de Alagoas ,ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ ,Estadual ,Área de Proteção Ambiental ,Category V ,"Branquinha (AL), Colônia Leopoldina (AL), Ibateguara (AL), Joaquim Gomes (AL), Messias (AL), Murici (AL), Novo Lino (AL), São José da Laje (AL), União dos Palmares (AL) ",Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.2576 ,Instituto do Meio Ambiente de Alagoas ,REFÚGIO DE VIDA SILVESTRE DOS MORROS DO CARAUNÃ E DO PADRE ,Estadual ,Refúgio de Vida Silvestre ,Category III ,Água Branca (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.2676 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MADEIRAS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Junqueiro (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.2683 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA FÉ ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Tanque D'Arca (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.2684 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Tanque D'Arca (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.2690 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JADER FERREIRA RAMOS ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Santana do Ipanema (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.2691 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JOSÉ ABDON MALTA MARQUES ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Ouro Branco (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.3462 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATO DA ONÇA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Pão de Açúcar (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.3579 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMôNIO NATURAL SAINT MICHEL 1 ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Barra de São Miguel (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.3580 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMôNIO NATURAL SAINT MICHEL 2 ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Barra de São Miguel (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.3582 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMôNIO NATURAL SAINT MICHEL 3 ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Barra de São Miguel (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.3609 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SALVADOR LYRA ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,São Miguel dos Campos (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.27.3721 ,Instituto do Meio Ambiente de Alagoas ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL QUEBRA CARRO ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Pilar (AL) ,Sim ,AL ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.28.0793 ,Secretaria de Estado do Meio Ambiente e Recursos Hídricos de Sergipe ,ÁREA DE PROTEÇÃO AMBIENTAL DO LITORAL SUL ,Estadual ,Área de Proteção Ambiental ,Category V ,"Estância (SE), Indiaroba (SE), Itaporanga D'Ajuda (SE), Santa Luzia do Itanhy (SE) ",Sim ,SE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.28.0794 ,Secretaria de Estado do Meio Ambiente e Recursos Hídricos de Sergipe ,ÁREA DE PROTEÇÃO AMBIENTAL DO MORRO DO URUBU ,Estadual ,Área de Proteção Ambiental ,Category V ,Aracaju (SE) ,Sim ,SE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.28.1603 ,Secretaria de Estado do Meio Ambiente e Recursos Hídricos de Sergipe ,MONUMENTO NATURAL GROTA DO ANGICO ,Estadual ,Monumento Natural ,Category III ,Poço Redondo (SE) ,Sim ,SE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.28.1604 ,Secretaria de Estado do Meio Ambiente e Recursos Hídricos de Sergipe ,REFúGIO DE VIDA SILVESTRE MATA DO JUNCO ,Estadual ,Refúgio de Vida Silvestre ,Category III ,Capela (SE) ,Sim ,SE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.28.1615 ,Secretaria de Estado do Meio Ambiente e Recursos Hídricos de Sergipe ,ÁREA DE PROTEçãO AMBIENTAL DO LITORAL NORTE ,Estadual ,Área de Proteção Ambiental ,Category V ,"Brejo Grande (SE), Ilha das Flores (SE), Japoatã (SE), Pacatuba (SE), Pirambu (SE) ",Sim ,SE ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.0294 ,Secretaria do Meio Ambiente da Bahia ,ESTAÇÃO ECOLÓGICA ESTADUAL WENCESLAU GUIMARÃES ,Estadual ,Estação Ecológica ,Category Ia ,Wenceslau Guimarães (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351846,0000.29.0295 ,Secretaria do Meio Ambiente da Bahia ,MONUMENTO NATURAL CACHOEIRA DO FERRO DOIDO ,Estadual ,Monumento Natural ,Category III ,Morro do Chapéu (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
19453,0000.29.0296 ,Secretaria do Meio Ambiente da Bahia ,PARQUE ESTADUAL DO MORRO DO CHAPÉU ,Estadual ,Parque ,Category II ,Morro do Chapéu (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351849,0000.29.0297 ,Secretaria do Meio Ambiente da Bahia ,PARQUE ESTADUAL DAS SETE PASSAGENS ,Estadual ,Parque ,Category II ,Miguel Calmon (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351847,0000.29.0298 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO NASCENTE DO RIO DE CONTAS ,Estadual ,Área de Relevante Interesse Ecológico ,Category IV ,"Abaíra (BA), Piatã (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351848,0000.29.0300 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DO OROBÓ ,Estadual ,Área de Relevante Interesse Ecológico ,Category IV ,"Itaberaba (BA), Ruy Barbosa (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351871,0000.29.0301 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Cairu (BA), Jiquiriça (BA), Nilo Peçanha (BA), Taperoá (BA), Teolândia (BA), Ubaíra (BA), Valença (BA), Wenceslau Guimarães (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351868,0000.29.0302 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE ,Estadual ,Área de Proteção Ambiental ,Category V ,Salvador (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
40971,0000.29.0303 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL GUAIBIM ,Estadual ,Área de Proteção Ambiental ,Category V ,Valença (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
40974,0000.29.0304 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL TINHARÉ / BOIPEBA ,Estadual ,Área de Proteção Ambiental ,Category V ,Cairu (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351866,0000.29.0305 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO ,Estadual ,Área de Proteção Ambiental ,Category V ,"Luís Eduardo Magalhães (BA), Barreiras (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
115433,0000.29.0306 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS ,Estadual ,Área de Proteção Ambiental ,Category V ,"Alcobaça (BA), Caravelas (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351851,0000.29.0307 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO BARBADO ,Estadual ,Área de Proteção Ambiental ,Category V ,"Abaíra (BA), Piatã (BA), Rio de Contas (BA), Rio do Pires (BA), Érico Cardoso (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351862,0000.29.0308 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL COROA VERMELHA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Santa Cruz Cabrália (BA), Porto Seguro (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351870,0000.29.0309 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE ,Estadual ,Área de Proteção Ambiental ,Category V ,"Uruçuca (BA), Itacaré (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351863,0000.29.0310 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO ,Estadual ,Área de Proteção Ambiental ,Category V ,Porto Seguro (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351858,0000.29.0311 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Iraquara (BA), Lençóis (BA), Palmeiras (BA), Seabra (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351869,0000.29.0312 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA ,Estadual ,Área de Proteção Ambiental ,Category V ,Ilhéus (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351849,0000.29.0313 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL RIO CAPIVARA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Camaçari (BA), Salvador (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
19471,0000.29.0314 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL GRUTAS DOS BREJÕES / VEREDAS DO ROMÃO GRAMACHO ,Estadual ,Área de Proteção Ambiental ,Category V ,"João Dourado (BA), Morro do Chapéu (BA), São Gabriel (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
33530,0000.29.0315 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS E DUNAS DO ABAETÉ ,Estadual ,Área de Proteção Ambiental ,Category V ,Salvador (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.0316 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA ,Estadual ,Área de Proteção Ambiental ,Category V ,Camaçari (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.0317 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO ,Estadual ,Área de Proteção Ambiental ,Category V ,"Barra (BA), Pilão Arcado (BA), Xique-Xique (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351856,0000.29.0318 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEDRA DO CAVALO ,Estadual ,Área de Proteção Ambiental ,Category V ,"Antônio Cardoso (BA), Cabaceiras do Paraguaçu (BA), Cachoeira (BA), Conceição da Feira (BA), Feira de Santana (BA), Governador Mangabeira (BA), Muritiba (BA), Santo Estêvão (BA), São Félix (BA), São Gonçalo dos Campos (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351855,0000.29.0319 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL PRATIGI ,Estadual ,Área de Proteção Ambiental ,Category V ,"Piraí do Norte (BA), Nilo Peçanha (BA), Ituberá (BA), Igrapiúna (BA), Ibirapitanga (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351865,0000.29.0320 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS ,Estadual ,Área de Proteção Ambiental ,Category V ,"Cachoeira (BA), Candeias (BA), Itaparica (BA), Jaguaripe (BA), Madre de Deus (BA), Maragogipe (BA), Salinas da Margarida (BA), Santo Amaro (BA), Saubara (BA), Simões Filho (BA), Salvador (BA), São Francisco do Conde (BA), Vera Cruz (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351867,0000.29.0321 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU ,Estadual ,Área de Proteção Ambiental ,Category V ,"Simões Filho (BA), Salvador (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351853,0000.29.0322 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL SERRA BRANCA / RASO DA CATARINA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Abaíra (BA), Piatã (BA), Rio de Contas (BA), Rio do Pires (BA), Érico Cardoso (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351868,0000.29.0323 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL LITORAL NORTE ,Estadual ,Área de Proteção Ambiental ,Category V ,"Mata de São João (BA), Jandaíra (BA), Esplanada (BA), Entre Rios (BA), Conde (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.0325 ,Secretaria do Meio Ambiente da Bahia ,PARQUE ESTADUAL DA SERRA DO CONDURU ,Estadual ,Parque ,Category II ,"Ilhéus (BA), Itacaré (BA), Uruçuca (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351857,0000.29.0326 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL MANGUE SECO ,Estadual ,Área de Proteção Ambiental ,Category V ,Jandaíra (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351852,0000.29.0327 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO ,Estadual ,Área de Proteção Ambiental ,Category V ,"Belmonte (BA), Santa Cruz Cabrália (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
351864,0000.29.0328 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU ,Estadual ,Área de Proteção Ambiental ,Category V ,"Camamu (BA), Itacaré (BA), Maraú (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.0329 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPARICA ,Estadual ,Área de Proteção Ambiental ,Category V ,"Gentio do Ouro (BA), Xique-Xique (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.0898 ,Secretaria do Meio Ambiente da Bahia ,ESTAÇÃO ECOLÓGICA DO RIO PRETO ,Estadual ,Estação Ecológica ,Category Ia ,"Santa Rita de Cássia (BA), Formosa do Rio Preto (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.1014 ,Secretaria do Meio Ambiente da Bahia ,MUNUMENTO NATURAL DOS CANIONS DO SUBAÉ ,Estadual ,Monumento Natural ,Category III ,Santo Amaro (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.1015 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO ,Estadual ,Área de Proteção Ambiental ,Category V ,"Casa Nova (BA), Pilão Arcado (BA), Remanso (BA), Sento Sé (BA), Sobradinho (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.1016 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO ,Estadual ,Área de Proteção Ambiental ,Category V ,"Formosa do Rio Preto (BA), Mansidão (BA), Santa Rita de Cássia (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.1017 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL DE SÃO DESIDÉRIO ,Estadual ,Área de Proteção Ambiental ,Category V ,São Desidério (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.1569 ,Secretaria do Meio Ambiente da Bahia ,ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DO OURO ,Estadual ,Área de Proteção Ambiental ,Category V ,Iguaí (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.2013 ,Secretaria do Meio Ambiente da Bahia ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RENASCER ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Porto Seguro (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.2014 ,Secretaria do Meio Ambiente da Bahia ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL REFÚGIO DO GUIGÓ I E II ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Una (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.2016 ,Secretaria do Meio Ambiente da Bahia ,REFUGIO DE VIDA SILVESTRE DA SERRA DOS MONTES ALTOS ,Estadual ,Refúgio de Vida Silvestre ,Category III ,"Candiba (BA), Guanambi (BA), Palmas de Monte Alto (BA), Pindaí (BA), Sebastião Laranjeiras (BA), Urandi (BA) ",Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.2018 ,Secretaria do Meio Ambiente da Bahia ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BRONZON ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Prado (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.2026 ,Secretaria do Meio Ambiente da Bahia ,PARQUE ESTADUAL DA SERRA DOS MONTES ALTOS ,Estadual ,Parque ,Category II ,Morro do Chapéu (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.2029 ,Secretaria do Meio Ambiente da Bahia ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BELAS ARTES ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Guaratinga (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0000.29.2030 ,Secretaria do Meio Ambiente da Bahia ,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOZI ,Estadual ,Reserva Particular do Patrimônio Natural ,Category IV ,Prado (BA) ,Sim ,BA ,,,,,,,,,,,,,,,,,,,,,,,,,
