cod_cnuc,mean,na_rows,total_days
0000.00.0001,1.6140845070422536,0,1420
0000.00.0002,0.4704225352112676,0,1420
0000.00.0007,2.473239436619718,0,1420
0000.00.0010,0.91619718309859155,0,1420
0000.00.0011,1.4619718309859155,0,1420
0000.00.0013,0.7288732394366197,0,1420
0000.00.0017,2.7253521126760565,0,1420
0000.00.0020,7.827464788732394,0,1420
0000.00.0021,1.626056338028169,0,1420
0000.00.0027,1.2225352112676056,0,1420
0000.00.0030,0.2952783650458069,1,1420
0000.00.0032,0.48273431994362226,1,1420
0000.00.0034,30.03098591549296,0,1420
0000.00.0036,0.40492957746478875,0,1420
0000.00.0038,0.4975334742776603,1,1420
0000.00.0040,5.6105633802816905,0,1420
0000.00.0043,0.3967582804792107,1,1420
0000.00.0050,0.7026074700493306,1,1420
0000.00.0052,1.9760394644115575,1,1420
0000.00.0053,0.5799859055673009,1,1420
0000.00.0054,2.4190140845070425,0,1420
0000.00.0056,0.43028169014084505,0,1420
0000.00.0058,1.3735024665257223,1,1420
0000.00.0059,1.2973925299506694,1,1420
0000.00.0062,1.0485915492957747,0,1420
0000.00.0063,1.158450704225352,0,1420
0000.00.0064,0.6246478873239436,0,1420
0000.00.0067,0.9619718309859155,0,1420
0000.00.0068,1.2338028169014084,0,1420
0000.00.0070,30.817605633802817,0,1420
0000.00.0071,1.4985915492957746,0,1420
0000.00.0072,0.3974630021141649,1,1420
0000.00.0073,1.1190140845070422,0,1420
0000.00.0074,4.23169014084507,0,1420
0000.00.0075,3.8366197183098594,0,1420
0000.00.0076,3.921830985915493,0,1420
0000.00.0088,7.120422535211268,0,1420
0000.00.0089,3.1908450704225353,0,1420
0000.00.0091,1.1915492957746479,0,1420
0000.00.0092,0.4154929577464789,0,1420
0000.00.0097,0.4880281690140845,0,1420
0000.00.0098,1.271830985915493,0,1420
0000.00.0105,0.8816901408450705,0,1420
0000.00.0112,0.4679351656095842,1,1420
0000.00.0113,1.6971830985915493,0,1420
0000.00.0116,1.2922535211267605,0,1420
0000.00.0120,0.3579985905567301,1,1420
0000.00.0121,0.223943661971831,0,1420
0000.00.0122,2.123943661971831,0,1420
0000.00.0123,1.8773784355179703,1,1420
0000.00.0124,1.2469135802469136,0,405
0000.00.0129,2.258450704225352,0,1420
0000.00.0132,2.6119718309859157,0,1420
0000.00.0133,1.6880281690140846,0,1420
0000.00.0134,3.111267605633803,0,1420
0000.00.0135,18.444366197183097,0,1420
0000.00.0136,11.735211267605633,0,1420
0000.00.0138,53.86267605633803,0,1420
0000.00.0139,121.02112676056338,0,1420
0000.00.0140,15.467605633802817,0,1420
0000.00.0141,14.008450704225352,0,1420
0000.00.0142,46.894366197183096,0,1420
0000.00.0143,19.856338028169013,0,1420
0000.00.0144,120.16549295774648,0,1420
