cod_cnuc,mean,na_rows,total_days
0000.00.0001,0.8837209302325582,1,1420
0000.00.0002,1.2845070422535212,0,1420
0000.00.0007,0.7963354474982381,1,1420
0000.00.0010,0.7561663143058492,1,1420
0000.00.0011,0.9528169014084507,0,1420
0000.00.0012,0.776056338028169,0,1420
0000.00.0013,0.9922535211267606,0,1420
0000.00.0016,0.9584507042253522,0,1420
0000.00.0017,1.0739957716701902,1,1420
0000.00.0018,0.6028169014084507,0,1420
0000.00.0019,1.4223826714801444,0,831
0000.00.0020,0.7549295774647887,0,1420
0000.00.0021,0.5539112050739958,1,1420
0000.00.0022,0.7676056338028169,0,1420
0000.00.0027,0.657968970380818,2,1420
0000.00.0029,1.3216867469879519,0,830
0000.00.0030,0.269683257918552,0,1105
0000.00.0032,0.7653985507246377,1,1105
0000.00.0034,7.582394366197183,0,1420
0000.00.0036,0.4321705426356589,0,1032
0000.00.0037,17.047149122807017,0,912
0000.00.0038,0.4088983050847458,0,944
0000.00.0040,1.2545126353790614,0,1108
0000.00.0043,0.6970338983050848,0,944
0000.00.0047,0.9402023919043239,0,1087
0000.00.0048,0.9268953068592057,0,1108
0000.00.0049,6.859154929577465,0,1420
0000.00.0050,0.6964788732394366,0,1420
0000.00.0052,0.7577464788732394,0,1420
0000.00.0053,0.8653321201091901,1,1100
0000.00.0054,0.6617336152219874,1,1420
0000.00.0055,0.6610288935870331,1,1420
0000.00.0056,0.7612676056338028,0,1420
0000.00.0057,1.6730091613812543,1,1420
0000.00.0058,0.7484143763213531,1,1420
0000.00.0059,0.8345945945945946,1,926
0000.00.0060,0.5454545454545454,1,1420
0000.00.0061,1.2924594785059902,1,1420
0000.00.0062,1.2001409443269908,1,1420
0000.00.0063,0.8274647887323944,0,1420
0000.00.0064,0.6485915492957747,0,1420
0000.00.0065,1.0943661971830987,0,1420
0000.00.0066,0.6483516483516484,0,819
0000.00.0067,0.8245243128964059,1,1420
0000.00.0068,0.8211267605633803,0,1420
0000.00.0069,0.5454545454545454,1,1420
0000.00.0070,1.8653981677237492,1,1420
0000.00.0071,0.7640845070422535,0,1420
0000.00.0072,0.7265680056377731,1,1420
0000.00.0073,0.7264864864864865,1,926
0000.00.0074,0.5971830985915493,0,1420
0000.00.0075,1.0176180408738549,1,1420
0000.00.0076,0.9310661764705882,0,1088
0000.00.0082,0.974169741697417,0,1084
0000.00.0083,0.9972401103955841,0,1087
0000.00.0085,0.910351201478743,0,1082
0000.00.0088,3.7099447513812156,0,1086
0000.00.0089,1.7971830985915493,0,1420
0000.00.0091,0.5686900958466453,1,940
0000.00.0092,1.0748613678373382,0,1082
0000.00.0095,0.6338546458141674,0,1087
0000.00.0096,0.5893186003683242,1,1087
0000.00.0097,0.6872727272727273,0,1100
0000.00.0098,0.5848074921956296,0,961
0000.00.0099,0.790590405904059,0,1084
0000.00.0100,0.5036968576709797,1,1083
0000.00.0101,0.5112299465240642,1,936
0000.00.0104,0.8628081457663451,1,934
0000.00.0105,0.5127737226277372,0,1096
0000.00.0106,1.0783956244302644,0,1097
0000.00.0107,1.4088345864661653,0,1064
0000.00.0108,0.5051740357478833,1,1064
0000.00.0109,1.2029520295202951,0,1084
0000.00.0112,1.3230932203389831,0,944
0000.00.0113,0.763584366062917,0,1049
0000.00.0114,1.292883211678832,0,1096
0000.00.0116,0.8615879828326181,1,933
0000.00.0120,0.5201877934272301,1,1066
0000.00.0121,0.8791878172588833,0,985
0000.00.0122,0.7004566210045662,0,1095
0000.00.0123,1.7140845070422535,0,1420
0000.00.0124,0.9686635944700461,1,1086
0000.00.0126,0.4806910569105691,1,985
0000.00.0129,0.6504149377593361,0,964
0000.00.0132,0.7135614702154626,1,790
0000.00.0133,0.6467439785905441,0,1121
0000.00.0134,0.3244228432563791,0,823
0000.00.0135,3.8140845070422533,0,1420
0000.00.0136,11.914788732394365,0,1420
0000.00.0137,58.14225352112676,0,1420
0000.00.0138,10.29718309859155,0,1420
0000.00.0139,30.840845070422535,0,1420
0000.00.0140,2.780281690140845,0,1420
0000.00.0141,3.302112676056338,0,1420
0000.00.0142,6.809154929577465,0,1420
0000.00.0143,3.6795774647887325,0,1420
0000.00.0144,9.596478873239437,0,1420
0000.00.0145,31.135915492957746,0,1420
0000.00.0146,2.4488847583643123,0,1076
0000.00.0147,3.3140845070422533,0,1420
0000.00.0148,6.909154929577465,0,1420
0000.00.0149,5.35,0,1420
0000.00.0150,4.330281690140845,0,1420
0000.00.0151,1.6126760563380282,0,1420
0000.00.0152,21.73098591549296,0,1420
0000.00.0153,4.825352112676057,0,1420
0000.00.0154,73.07042253521126,0,1420
0000.00.0155,11.15774647887324,0,1420
0000.00.0156,3.2204225352112674,0,1420
0000.00.0157,1.8316901408450703,0,1420
0000.00.0158,8.788732394366198,0,1420
0000.00.0159,5.91056338028169,0,1420
0000.00.0160,5.418309859154929,0,1420
0000.00.0161,3.0605633802816903,0,1420
0000.00.0162,13.885915492957746,0,1420
0000.00.0163,2.8725352112676057,0,1420
0000.00.0164,1.4933051444679353,1,1420
0000.00.0165,2.6070422535211266,0,1420
0000.00.0166,4.970422535211267,0,1420
0000.00.0167,2.8105633802816903,0,1420
0000.00.0168,5.863380281690141,0,1420
0000.00.0169,3.732394366197183,0,1420
0000.00.0170,2.445774647887324,0,1420
0000.00.0171,1.6787372330547818,0,1077
0000.00.0172,36.81830985915493,0,1420
0000.00.0173,13.32394366197183,0,1420
0000.00.0174,8.404452690166975,0,1078
0000.00.0175,8.735915492957746,0,1420
0000.00.0176,2.095774647887324,0,1420
0000.00.0177,6.824647887323944,0,1420
0000.00.0178,1.809725158562368,1,1420
0000.00.0179,1.5401408450704226,0,1420
0000.00.0180,262.04788732394366,0,1420
0000.00.0181,0.3732394366197183,0,1420
0000.00.0182,2.1636690647482015,0,1112
0000.00.0183,4.83943661971831,0,1420
0000.00.0184,10.723239436619718,0,1420
0000.00.0185,9.237323943661972,0,1420
0000.00.0186,2.742957746478873,0,1420
0000.00.0187,6.699295774647887,0,1420
0000.00.0188,1.2204225352112676,0,1420
0000.00.0189,1.7288732394366197,0,1420
0000.00.0190,2.7838028169014084,0,1420
0000.00.0191,1.3880281690140845,0,1420
0000.00.0192,0.6014692378328742,1,1090
0000.00.0193,0.6144430844553244,0,817
0000.00.0194,1.5295774647887324,0,1420
0000.00.0195,0.7408450704225352,0,1420
0000.00.0196,0.6316901408450705,0,1420
0000.00.0197,1.1267605633802817,0,1420
0000.00.0198,0.7950704225352113,0,1420
0000.00.0199,0.7385482734319944,1,1420
0000.00.0200,0.8443661971830986,0,1420
0000.00.0201,1.6035211267605634,0,1420
0000.00.0202,1.345774647887324,0,1420
0000.00.0203,2.4852112676056337,0,1420
0000.00.0204,0.6765327695560254,1,1420
0000.00.0205,0.7216349541930938,1,1420
0000.00.0206,1.1070422535211268,0,1420
0000.00.0207,1.1950704225352113,0,1420
0000.00.0208,0.8929577464788733,0,1420
0000.00.0209,0.817477096546864,1,1420
0000.00.0210,0.945031712473573,1,1420
0000.00.0211,0.7098591549295775,0,1420
0000.00.0212,2.141549295774648,0,1420
