codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0096,Itaituba II National Forest,2015-07-01,2019-06-20,2016-05-29
0000.00.0097,Jacundá National Forest,2015-07-01,2019-06-20,2016-05-16
0000.00.0098,Lorena National Forest,2015-07-01,2019-06-20,2016-10-02
0000.00.0099,Mulata National Forest,2015-07-01,2019-06-20,2016-06-01
0000.00.0100,Nísia Floresta National Forest,2015-07-01,2019-06-20,2016-06-02
0000.00.0101,Pacotuba National Forest,2015-07-01,2019-06-20,2016-10-27
0000.00.0104,Pau-Rosa National Forest,2015-07-01,2019-06-20,2016-10-29
0000.00.0105,Ritápolis National Forest,2015-07-01,2019-06-20,2016-05-20
0000.00.0106,Roraima National Forest,2015-07-01,2019-06-20,2016-05-19
0000.00.0107,Santa Rosa do Purus National Forest,2015-07-01,2019-06-20,2016-06-21
0000.00.0108,São Francisco National Forest,2015-07-01,2019-06-20,2016-06-21
0000.00.0109,Saracá-Taquera National Forest,2015-07-01,2019-06-20,2016-06-01
0000.00.0112,Tefé National Forest,2015-07-01,2019-06-20,2016-10-19
0000.00.0113,Amapá National Forest,2015-07-01,2019-06-20,2016-07-06
0000.00.0114,Amazonas National Forest,2015-07-01,2019-06-20,2016-05-20
0000.00.0116,Bom Futuro National Forest,2015-07-01,2019-06-20,2016-10-30
0000.00.0120,Macauã National Forest,2015-07-01,2019-06-20,2016-06-19
0000.00.0121,Purus National Forest,2015-07-01,2019-06-20,2016-09-08
0000.00.0122,Rio Preto National Forest,2015-07-01,2019-06-20,2016-05-21
0000.00.0123,Tapajós National Forest,2015-07-01,2019-06-20,2009-09-11
0000.00.0124,Tapirapé-Aquiri National Forest,2015-07-01,2019-06-20,2016-05-30
0000.00.0126,Mapiá-Inauini National Forest,2015-07-01,2019-06-20,2016-09-08
0000.00.0129,Passa Quatro National Forest,2015-07-01,2019-06-20,2016-09-29
0000.00.0132,Restinga de Cabedelo National Forest,2015-07-01,2019-06-20,2017-03-22
0000.00.0133,São Francisco de Paula National Forest,2015-07-01,2019-06-20,2016-04-25
0000.00.0134,Três Barras National Forest,2015-07-01,2019-06-20,2017-02-17
0000.00.0135,Cavernas do Peruaçu National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0136,Amazônia National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0137,Chapada Diamantina National Park,2015-07-01,2019-06-20,2004-09-25
0000.00.0138,Chapada dos Guimarães National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0139,Chapada dos Veadeiros National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0140,Lagoa do Peixe National Park,2015-07-01,2019-06-20,2007-06-01
0000.00.0141,Jurubatiba Sandbank National Park,2015-07-01,2019-06-20,2005-07-02
0000.00.0142,Serra da Bocaina National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0143,Serra da Bodoquena National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0144,Serra da Canastra National Park,2015-07-01,2019-06-20,2006-02-21
0000.00.0145,Serra da Capivara National Park,2015-07-01,2019-06-20,2005-02-12
0000.00.0146,Serra das Confusões National Park,2015-07-01,2019-06-20,2016-06-09
0000.00.0147,Serra de Itabaiana National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0148,Serra do Cipó National Park,2015-07-01,2019-06-20,2006-02-21
0000.00.0149,Serra do Divisor National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0150,Serra do Itajaí National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0151,Serra do Pardo National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0152,Serra dos Órgãos National Park,2015-07-01,2019-06-20,2004-03-15
0000.00.0153,Serra Geral National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0154,Tijuca Forest,2015-07-01,2019-06-20,2003-10-21
0000.00.0155,Emas National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0156,Nascentes do Rio Parnaíba National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0157,Sempre Vivas National Park,2015-07-01,2019-06-20,2008-03-21
0000.00.0158,Aparados da Serra National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0159,Brasília National Park,2015-07-01,2019-06-20,2006-02-20
0000.00.0160,Caparaó National Park,2015-07-01,2019-06-20,2006-02-20
