cod_cnuc,mean,na_rows,total_days
0000.00.0001,0.8786206896551724,1,1451
0000.00.0002,1.293793103448276,1,1451
0000.00.0007,0.7951724137931034,1,1451
0000.00.0010,0.7560303239145417,0,1451
0000.00.0011,0.9517574086836664,0,1451
0000.00.0012,0.7760165403170227,0,1451
0000.00.0013,0.9924190213645762,0,1451
0000.00.0016,0.9758620689655172,1,1451
0000.00.0017,1.0731034482758621,1,1451
0000.00.0018,0.6023432115782219,0,1451
0000.00.0019,1.4559164733178653,0,862
0000.00.0020,0.7512060647829083,0,1451
0000.00.0021,0.5651274982770503,0,1451
0000.00.0022,0.7643004824259132,0,1451
0000.00.0027,0.6512749827705031,0,1451
0000.00.0029,1.3135888501742161,0,861
0000.00.0030,0.2742504409171076,2,1136
0000.00.0032,0.7702464788732394,0,1136
0000.00.0034,7.561681598897312,0,1451
0000.00.0036,0.4430856067732832,0,1063
0000.00.0037,17.00742311770944,0,943
0000.00.0038,0.4075975359342916,1,975
0000.00.0040,1.257243195785777,0,1139
0000.00.0043,0.6940451745379876,1,975
0000.00.0047,0.9481216457960644,0,1118
0000.00.0048,0.9209833187006146,0,1139
0000.00.0049,6.920055134390076,0,1451
0000.00.0050,0.6944827586206896,1,1451
0000.00.0052,0.7579310344827587,1,1451
0000.00.0053,0.9328028293545535,0,1131
0000.00.0054,0.6616126809097175,0,1451
0000.00.0055,0.6574776016540317,0,1451
0000.00.0056,0.7691247415575465,0,1451
0000.00.0057,1.6802205375603032,0,1451
0000.00.0058,0.7484493452791179,0,1451
0000.00.0059,0.8369905956112853,0,957
0000.00.0060,0.5520330806340454,0,1451
0000.00.0061,1.2818745692625775,0,1451
0000.00.0062,1.19710544452102,0,1451
0000.00.0063,0.86,1,1451
0000.00.0064,0.646896551724138,1,1451
0000.00.0065,1.0964851826326671,0,1451
0000.00.0066,0.6442873969375736,1,850
0000.00.0067,0.8262068965517242,1,1451
0000.00.0068,0.8173673328738801,0,1451
0000.00.0069,0.5441379310344827,1,1451
0000.00.0070,1.8587181254307374,0,1451
0000.00.0071,0.7615437629221227,0,1451
0000.00.0072,0.7289655172413793,1,1451
0000.00.0073,0.7361256544502618,2,957
0000.00.0074,0.6075862068965517,1,1451
0000.00.0075,1.0144727773949,0,1451
0000.00.0076,0.9302949061662198,0,1119
0000.00.0082,0.9766606822262118,1,1115
0000.00.0083,0.9937388193202147,0,1118
0000.00.0085,0.908273381294964,1,1113
0000.00.0088,3.693822739480752,0,1117
0000.00.0089,1.786354238456237,0,1451
0000.00.0091,0.568041237113402,1,971
0000.00.0092,1.0773381294964028,1,1113
0000.00.0095,0.6329453894359892,1,1118
0000.00.0096,0.5926589077887198,1,1118
0000.00.0097,0.7017699115044248,1,1131
0000.00.0098,0.5943491422805247,1,992
