cod_cnuc,mean,na_rows,total_days,pa_name_cnuc,pt_wkname
0000.00.0001,1.6358620689655172,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Área de Proteção Ambiental de Anhatomirim
0000.00.0002,0.47586206896551725,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU,Área de Proteção Ambiental Cavernas do Peruaçu
0000.00.0007,2.477601654031702,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE,Área de Proteção Ambiental da Barra do Rio Mamanguape
0000.00.0010,0.9262068965517242,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS,Área de Proteção Ambiental de Petrópolis
0000.00.0011,1.523776705720193,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,Área de Proteção Ambiental Serra da Mantiqueira
0000.00.0013,0.733103448275862,1,1451,ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU,Área de Proteção Ambiental de Cairuçu
0000.00.0017,2.737422467263956,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,Área de Proteção Ambiental de Guaraqueçaba
0000.00.0020,7.948311509303928,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DA LAGOA SANTA,Área de Proteção Ambiental Carste de Lagoa Santa
0000.00.0021,1.6402481047553412,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ,Área de Proteção Ambiental do Ibirapuitã
0000.00.0027,1.2274293590627154,0,1451,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,Área de Proteção Ambiental Morro da Pedreira
0000.00.0030,0.3020689655172414,1,1451,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA,Área de Relevante Interesse Ecológico Vassununga
0000.00.0032,0.4917241379310345,1,1451,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PÉ-DE-GIGANTE,Área de Relevante Interesse Ecológico Pé-de-Gigante
0000.00.0034,29.832529290144727,0,1451,MONUMENTO NATURAL DAS ILHAS CAGARRAS,Ilhas Cagarras
0000.00.0036,0.41379310344827586,1,1451,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA ILHA AMEIXAL,Área de Relevante Interesse Ecológico Ilha Ameixal
0000.00.0038,0.506896551724138,1,1451,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA JAVARI BURITI,Área de Relevante Interesse Ecológico Javari Buriti
0000.00.0040,5.700206753962784,0,1451,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MATA DE SANTA GENEBRA,Mata de Santa Genebra
0000.00.0043,0.41172413793103446,1,1451,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,Área de Relevante Interesse Ecológico Projeto Dinâmica Biológica de Fragmentos Florestais
0000.00.0050,0.6986206896551724,1,1451,ESTAÇÃO ECOLÓGICA DE ARACURI-ESMERALDA,Estação Ecológica de Aracuri-Esmeralda
0000.00.0052,2.0103376981392143,0,1451,ESTAÇÃO ECOLÓGICA DE CARIJÓS,Estação Ecológica de Carijós
0000.00.0053,0.5779310344827586,1,1451,ESTAÇÃO ECOLÓGICA DE CUNIÃ,Estação Ecológica de Cuniã
0000.00.0054,2.436250861474845,0,1451,ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,Estação Ecológica de Guaraqueçaba
0000.00.0056,0.4390075809786354,0,1451,ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES,Estação Ecológica de Jutaí-Solimões
0000.00.0058,1.3823326432022085,2,1451,ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA,Estação ecológica de Maracá-Jipioca
0000.00.0059,1.31013094417643,0,1451,ESTAÇÃO ECOLÓGICA DE MURICI,Estação Ecológica de Murici
0000.00.0062,1.0634045485871813,0,1451,ESTAÇÃO ECOLÓGICA DE TAIAMÃ,Estação Ecológica de Taiamã
0000.00.0063,1.803448275862069,1,1451,ESTAÇÃO ECOLÓGICA DE TAMOIOS,Estação Ecológica de Tamoios
0000.00.0064,0.6273291925465838,2,1451,ESTAÇÃO ECOLÓGICA TUPINAMBÁS,Estação Ecológica Tupinambás
0000.00.0067,0.968986905582357,0,1451,ESTAÇÃO ECOLÓGICA DO JARI,Estação Ecológica do Jari
0000.00.0068,1.2405237767057202,0,1451,ESTAÇÃO ECOLÓGICA RIO ACRE,Estação Ecológica Rio Acre
0000.00.0070,30.67884217780841,0,1451,ESTAÇÃO ECOLÓGICA DO TAIM,Estação Ecológica do Taim
0000.00.0071,1.5037904893177119,0,1451,ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,Estação Ecológica dos Tupiniquins
0000.00.0072,0.4068965517241379,1,1451,ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ,Estação Ecológica Juami-Japurá
0000.00.0073,1.1206064782908338,0,1451,ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO,Estação Ecológica Mico-Leão-Preto
0000.00.0074,4.208132322536182,0,1451,ESTAÇÃO ECOLÓGICA RASO DA CATARINA,Estação Ecológica Raso da Catarina
0000.00.0075,3.838042729152309,0,1451,ESTAÇÃO ECOLÓGICA DA SERRA DAS ARARAS,Estação Ecológica da Serra das Araras
0000.00.0076,3.972432804962095,0,1451,ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS,Estação Ecológica Serra Geral do Tocantins
0000.00.0088,7.169538249483115,0,1451,FLORESTA NACIONAL DE CARAJÁS,Floresta Nacional de Carajás
0000.00.0089,3.1724137931034484,1,1451,FLORESTA NACIONAL DE CAXIUANÃ,Floresta Nacional de Caxiuanã
0000.00.0091,1.1958620689655173,1,1451,FLORESTA NACIONAL DE GOYTACAZES,Floresta Nacional de Goytacazes
0000.00.0092,0.4203997243280496,0,1451,FLORESTA NACIONAL DE HUMAITÁ,Floresta Nacional de Humaitá
0000.00.0097,0.4924137931034483,1,1451,FLORESTA NACIONAL DE JACUNDÁ,Floresta Nacional de Jacundá
0000.00.0098,1.269655172413793,1,1451,FLORESTA NACIONAL DE LORENA,Floresta Nacional de Lorena
0000.00.0105,0.8897312198483804,0,1451,FLORESTA NACIONAL DE RITÁPOLIS,Floresta Nacional de Ritápolis
0000.00.0112,0.4776016540317023,0,1451,FLORESTA NACIONAL DE TEFÉ,Floresta Nacional de Tefé
0000.00.0113,1.7129054520358868,2,1451,FLORESTA NACIONAL DE AMAPÁ,Floresta Nacional de Amapá
0000.00.0116,1.2949689869055823,0,1451,FLORESTA NACIONAL DE BOM FUTURO,Floresta Nacional do Bom Futuro
0000.00.0120,0.3588681849551415,2,1451,FLORESTA NACIONAL DE MACAUÃ,Floresta Nacional de Macauã
0000.00.0121,0.2296551724137931,1,1451,FLORESTA NACIONAL DE PURUS,Floresta Nacional de Purus
0000.00.0122,2.167586206896552,1,1451,FLORESTA NACIONAL DE RIO PRETO,Floresta Nacional do Rio Preto
0000.00.0123,1.9137931034482758,1,1451,FLORESTA NACIONAL DE TAPAJÓS,Floresta Nacional do Tapajós
0000.00.0124,1.289655172413793,1,436,FLORESTA NACIONAL DE TAPIRAPÉ-AQUIRI,Floresta Nacional de Tapirapé-Aquiri
0000.00.0129,2.2929014472777394,0,1451,FLORESTA NACIONAL DE PASSA QUATRO,Floresta Nacional de Passa Quatro
0000.00.0132,2.6574776016540316,0,1451,FLORESTA NACIONAL DA RESTINGA DE CABEDELO,Floresta Nacional da Restinga de Cabedelo
0000.00.0133,1.7165517241379311,1,1451,FLORESTA NACIONAL DE SÃO FRANCISCO DE PAULA,Floresta Nacional de São Francisco de Paula
0000.00.0134,3.110957960027567,0,1451,FLORESTA NACIONAL DE TRÊS BARRAS,Floresta Nacional de Três Barras
0000.00.0135,18.370089593383874,0,1451,PARQUE NACIONAL CAVERNAS DO PERUAÇU,Parque Nacional Cavernas do Peruaçu
0000.00.0136,11.798759476223294,0,1451,PARQUE NACIONAL DA AMAZÔNIA,Parque Nacional da Amazônia
0000.00.0138,53.52997932460372,0,1451,PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES,Parque Nacional da Chapada dos Guimarães
0000.00.0139,121.71812543073742,0,1451,PARQUE NACIONAL DA CHAPADA DOS VEADEIROS,Parque Nacional da Chapada dos Veadeiros
0000.00.0140,15.429359062715369,0,1451,PARQUE NACIONAL DA LAGOA DO PEIXE,Parque Nacional da Lagoa do Peixe
0000.00.0141,14.044107512060648,0,1451,PARQUE NACIONAL RESTINGA DE JURUBATIBA,Parque Nacional da Restinga de Jurubatiba
0000.00.0142,46.71536871123363,0,1451,PARQUE NACIONAL DA SERRA DA BOCAINA,Parque Nacional da Serra da Bocaina
0000.00.0143,2.857339765678842,0,1451,PARQUE NACIONAL DA SERRA DA BODOQUENA,Parque Nacional da Serra da Bodoquena
0000.00.0144,120.4197105444521,0,1451,PARQUE NACIONAL DA SERRA DA CANASTRA,Parque Nacional da Serra da Canastra
0000.00.0145,378.63266712611994,0,1451,PARQUE NACIONAL DA SERRA DA CAPIVARA,Parque Nacional Serra da Capivara
0000.00.0146,16.893866299104065,0,1451,PARQUE NACIONAL SERRA DAS CONFUSÕES,Parque Nacional da Serra das Confusões
0000.00.0147,8.185389386629911,0,1451,PARQUE NACIONAL DA SERRA DE ITABAIANA,Parque Nacional Serra de Itabaiana
0000.00.0148,10.31013094417643,0,1451,PARQUE NACIONAL DA SERRA DO CIPÓ,Parque Nacional da Serra do Cipó
0000.00.0149,12.864920744314267,0,1451,PARQUE NACIONAL DA SERRA DO DIVISOR,Parque Nacional da Serra do Divisor
0000.00.0150,10.45485871812543,0,1451,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Parque Nacional da Serra do Itajaí
0000.00.0151,2.0979310344827584,1,1451,PARQUE NACIONAL DA SERRA DO PARDO,Parque Nacional da Serra do Pardo
0000.00.0152,48.55961405926947,0,1451,PARQUE NACIONAL DA SERRA DOS ORGÃOS,Parque Nacional da Serra dos Órgãos
0000.00.0153,16.859407305306686,0,1451,PARQUE NACIONAL DA SERRA GERAL,Parque Nacional da Serra Geral
0000.00.0155,32.97450034458994,0,1451,PARQUE NACIONAL DAS EMAS,Parque Nacional das Emas
0000.00.0156,11.93314955203308,0,1451,PARQUE NACIONAL DAS NASCENTES DO RIO PARNAIBA,Parque Nacional das Nascentes do Rio Parnaíba
0000.00.0157,8.644383184011026,0,1451,PARQUE NACIONAL DAS SEMPRE VIVAS,Parque Nacional das Sempre-Vivas
0000.00.0158,35.3631977946244,0,1451,PARQUE NACIONAL DE APARADOS DA SERRA,Parque Nacional de Aparados da Serra
0000.00.0159,24.687112336319778,0,1451,PARQUE NACIONAL DE BRASÍLIA,Parque Nacional de Brasília
0000.00.0160,46.199172984148866,0,1451,PARQUE NACIONAL DE CAPARAO,Parque Nacional do Caparaó
0000.00.0161,13.583735354927637,0,1451,PARQUE NACIONAL DE ILHA GRANDE,Parque Nacional de Ilha Grande
0000.00.0162,17.441075120606477,0,1451,PARQUE NACIONAL DE JERICOACOARA,Parque Nacional de Jericoacoara
0000.00.0163,12.643004824259132,0,1451,PARQUE NACIONAL DE PACAÁS NOVOS,Parque Nacional de Pacaás Novos
0000.00.0164,6.995175740868366,0,1451,PARQUE NACIONAL DE SAINT-HILAIRE/LANGE,Parque Nacional de Saint-Hilaire/Lange
