codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0001,Área de Proteção Ambiental de Anhatomirim,2015-07-01,2019-02-04,2011-12-23
0000.00.0002,Área de Proteção Ambiental Cavernas do Peruaçu,2015-07-01,2019-02-04,2013-03-04
0000.00.0007,Área de Proteção Ambiental da Barra do Rio Mamanguape,2015-07-01,2019-02-04,2008-08-15
0000.00.0010,Área de Proteção Ambiental de Petrópolis,2015-07-01,2019-02-04,2013-03-04
0000.00.0011,Área de Proteção Ambiental Serra da Mantiqueira,2015-07-01,2019-02-04,2013-02-15
0000.00.0013,Área de Proteção Ambiental de Cairuçu,2015-07-01,2019-02-04,2013-03-04
0000.00.0017,Área de Proteção Ambiental de Guaraqueçaba,2015-07-01,2019-02-04,2012-01-29
0000.00.0021,Área de Proteção Ambiental do Ibirapuitã,2015-07-01,2019-02-04,2012-05-23
0000.00.0034,Ilhas Cagarras,2015-07-01,2019-02-04,2006-06-04
0000.00.0036,Área de Relevante Interesse Ecológico Ilha Ameixal,2015-07-01,2019-02-04,2013-02-15
0000.00.0037,Área de Relevante Interesse Ecológico Ilhas Queimada Grande e Queimada Pequena,2015-07-01,2019-02-04,2006-04-03
0000.00.0038,Área de Relevante Interesse Ecológico Javari Buriti,2015-07-01,2019-02-04,2013-02-17
0000.00.0040,Mata de Santa Genebra,2015-07-01,2019-02-04,2008-09-02
0000.00.0043,Área de Relevante Interesse Ecológico Projeto Dinâmica Biológica de Fragmentos Florestais,2015-07-01,2019-02-04,2013-02-17
0000.00.0049,Parque Nacional de Anavilhanas,2015-07-01,2019-02-04,2005-05-13
0000.00.0050,Estação Ecológica de Aracuri-Esmeralda,2015-07-01,2019-02-04,2012-05-23
0000.00.0052,Estação Ecológica de Carijós,2015-07-01,2019-02-04,2005-05-14
0000.00.0053,Estação Ecológica de Cuniã,2015-07-01,2019-02-04,2013-02-17
0000.00.0054,Estação Ecológica de Guaraqueçaba,2015-07-01,2019-02-04,2010-05-05
0000.00.0057,Reserva Biológica Ilha de Maracá,2015-07-01,2019-02-04,2007-09-25
0000.00.0058,Estação ecológica de Maracá-Jipioca,2015-07-01,2019-02-04,2011-08-07
0000.00.0059,Estação Ecológica de Murici,2015-07-01,2019-02-04,2010-12-22
0000.00.0062,Estação Ecológica de Taiamã,2015-07-01,2019-02-04,2014-01-31
0000.00.0063,Estação Ecológica de Tamoios,2015-07-01,2019-02-04,2013-10-26
0000.00.0064,Estação Ecológica Tupinambás,2015-07-01,2019-02-04,2013-02-15
0000.00.0067,Estação Ecológica do Jari,2015-07-01,2019-02-04,2013-02-17
0000.00.0068,Estação Ecológica Rio Acre,2015-07-01,2019-02-04,2009-06-11
0000.00.0070,Estação Ecológica do Taim,2015-07-01,2019-02-04,2006-02-01
0000.00.0071,Estação Ecológica dos Tupiniquins,2015-07-01,2019-02-04,2011-09-21
0000.00.0072,Estação Ecológica Juami-Japurá,2015-07-01,2019-02-04,2013-02-17
0000.00.0073,Estação Ecológica Mico-Leão-Preto,2015-07-01,2019-02-04,2013-02-15
0000.00.0075,Estação Ecológica da Serra das Araras,2015-07-01,2019-02-04,2009-05-28
0000.00.0076,Estação Ecológica Serra Geral do Tocantins,2015-07-01,2019-02-04,2008-03-13
0000.00.0085,Floresta Nacional de Balata-Tufari,2015-07-01,2019-02-04,2013-02-17
0000.00.0088,Floresta Nacional de Carajás,2015-07-01,2019-02-04,2006-05-25
0000.00.0089,Floresta Nacional de Caxiuanã,2015-07-01,2019-02-04,2008-11-05
0000.00.0091,Floresta Nacional de Goytacazes,2015-07-01,2019-02-04,2013-03-04
0000.00.0097,Floresta Nacional de Jacundá,2015-07-01,2019-02-04,2009-07-10
0000.00.0098,Floresta Nacional de Lorena,2015-07-01,2019-02-04,2009-05-06
0000.00.0101,Floresta Nacional de Pacotuba,2015-07-01,2019-02-04,2013-03-04
0000.00.0104,Floresta Nacional de Pau-Rosa,2015-07-01,2019-02-04,2013-02-17
0000.00.0105,Floresta Nacional de Ritápolis,2015-07-01,2019-02-04,2013-03-04
0000.00.0107,Floresta Nacional de Santa Rosa dos Purus,2015-07-01,2019-02-04,2013-02-16
0000.00.0112,Floresta Nacional de Tefé,2015-07-01,2019-02-04,2013-02-17
0000.00.0113,Floresta Nacional de Amapá,2015-07-01,2019-02-04,2013-02-17
0000.00.0116,Floresta Nacional do Bom Futuro,2015-07-01,2019-02-04,2009-05-14
0000.00.0120,Floresta Nacional de Macauã,2015-07-01,2019-02-04,2013-02-16
0000.00.0121,Floresta Nacional de Purus,2015-07-01,2019-02-04,2013-02-17
0000.00.0122,Floresta Nacional do Rio Preto,2015-07-01,2019-02-04,2009-01-06
0000.00.0124,Floresta Nacional de Tapirapé-Aquiri,2015-07-01,2019-02-04,2018-04-11
0000.00.0126,Floresta Nacional de Mapiá-Inauiní,2015-07-01,2019-02-04,2013-02-17
0000.00.0127,Floresta Nacional Mário Xavier,2015-07-01,2019-02-04,2008-10-02
0000.00.0132,Floresta Nacional da Restinga de Cabedelo,2015-07-01,2019-02-04,2011-02-20
0000.00.0133,Floresta Nacional de São Francisco de Paula,2015-07-01,2019-02-04,2012-05-24
0000.00.0134,Floresta Nacional de Três Barras,2015-07-01,2019-02-04,2006-11-14
0000.00.0135,Parque Nacional Cavernas do Peruaçu,2015-07-01,2019-02-04,2010-11-10
0000.00.0136,Parque Nacional da Amazônia,2015-07-01,2019-02-04,2006-10-25
0000.00.0137,Chapada Diamantina,2015-07-01,2019-02-04,2005-05-04
0000.00.0138,Parque Nacional da Chapada dos Guimarães,2015-07-01,2019-02-04,2007-04-29
