cod_cnuc,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat,esfera
0000.00.0134,0.3305978898007034,1,854,3.110957960027567,0,1451,Floresta,Federal
0000.00.0135,3.8201240523776705,0,1451,18.370089593383874,0,1451,Parque,Federal
0000.00.0136,11.84631288766368,0,1451,11.798759476223294,0,1451,Parque,Federal
0000.00.0137,58.33838731909028,0,1451,331.81943487250174,0,1451,Parque,Federal
0000.00.0138,10.308752584424536,0,1451,53.52997932460372,0,1451,Parque,Federal
0000.00.0139,30.871123363197796,0,1451,121.71812543073742,0,1451,Parque,Federal
0000.00.0140,2.7677463818056514,0,1451,15.429359062715369,0,1451,Parque,Federal
0000.00.0141,3.282563749138525,0,1451,14.044107512060648,0,1451,Parque,Federal
0000.00.0142,6.782908339076499,0,1451,46.71536871123363,0,1451,Parque,Federal
0000.00.0143,3.669193659545141,0,1451,2.857339765678842,0,1451,Parque,Federal
0000.00.0144,9.654031702274294,0,1451,120.4197105444521,0,1451,Parque,Federal
0000.00.0145,31.12474155754652,0,1451,378.63266712611994,0,1451,Parque,Federal
0000.00.0146,2.4670280036133696,0,1107,16.893866299104065,0,1451,Parque,Federal
0000.00.0147,3.2929014472777394,0,1451,8.185389386629911,0,1451,Parque,Federal
0000.00.0148,6.8966230186078565,0,1451,10.31013094417643,0,1451,Parque,Federal
0000.00.0149,5.32184700206754,0,1451,12.864920744314267,0,1451,Parque,Federal
0000.00.0150,4.330344827586207,1,1451,10.45485871812543,0,1451,Parque,Federal
0000.00.0151,1.6133700895933838,0,1451,2.0979310344827584,1,1451,Parque,Federal
0000.00.0152,21.738111647139903,0,1451,48.55961405926947,0,1451,Parque,Federal
0000.00.0153,4.839421088904204,0,1451,16.859407305306686,0,1451,Parque,Federal
0000.00.0154,72.7263955892488,0,1451,54.31909028256375,0,1451,Parque,Federal
0000.00.0155,11.123363197794625,0,1451,32.97450034458994,0,1451,Parque,Federal
0000.00.0156,3.2053756030323917,0,1451,11.93314955203308,0,1451,Parque,Federal
0000.00.0157,1.824948311509304,0,1451,8.644383184011026,0,1451,Parque,Federal
0000.00.0158,8.765678842177808,0,1451,35.3631977946244,0,1451,Parque,Federal
0000.00.0159,5.931771192281185,0,1451,24.687112336319778,0,1451,Parque,Federal
0000.00.0160,5.421088904203997,0,1451,46.199172984148866,0,1451,Parque,Federal
0000.00.0161,3.0516884906960717,0,1451,13.583735354927637,0,1451,Parque,Federal
0000.00.0162,13.716747070985527,0,1451,17.441075120606477,0,1451,Parque,Federal
0000.00.0163,2.8566505858028948,0,1451,12.643004824259132,0,1451,Parque,Federal
0000.00.0164,1.4913852515506547,0,1451,6.995175740868366,0,1451,Parque,Federal
0000.00.0165,2.5995864920744314,0,1451,9.474155754651964,0,1451,Parque,Federal
0000.00.0166,4.962095106822881,0,1451,31.743625086147485,0,1451,Parque,Federal
0000.00.0167,2.8056512749827704,0,1451,14.348725017229498,0,1451,Parque,Federal
0000.00.0168,5.81736733287388,0,1451,7.509303928325293,0,1451,Parque,Federal
0000.00.0169,3.7112336319779464,0,1451,6.935217091660924,0,1451,Parque,Federal
0000.00.0170,2.4610613370089593,0,1451,64.1330117160579,0,1451,Parque,Federal
0000.00.0171,1.6847335140018067,1,1108,5.005513439007581,0,1451,Parque,Federal
0000.00.0172,36.79048931771192,0,1451,78.98001378359751,0,1451,Parque,Federal
0000.00.0173,13.272226050999311,0,1451,17.29221226740179,0,1451,Parque,Federal
0000.00.0174,8.381424706943193,0,1109,11.920744314266024,0,1451,Parque,Federal
0000.00.0175,8.751895244658856,0,1451,29.998621640248103,0,1451,Parque,Federal
0000.00.0176,2.1068228807718814,0,1451,2.2145564821834722,0,1319,Parque,Federal
0000.00.0177,6.832529290144728,0,1451,26.294279807029636,0,1451,Parque,Federal
0000.00.0178,1.813921433494142,0,1451,11.923501033769814,0,1451,Parque,Federal
0000.00.0179,1.5410062026188835,0,1451,1.6254738438210765,0,1319,Parque,Federal
0000.00.0180,262.08545830461753,0,1451,115.21295658166781,0,1451,Parque,Federal
0000.00.0181,0.3802622498274672,2,1451,3.445210199862164,0,1451,Monumento Natural,Federal
0000.00.0182,2.180227471566054,0,1143,12.088904203997243,0,1451,Parque,Federal
0000.00.0183,4.820813232253618,0,1451,10.361819434872501,0,1451,Parque,Federal
0000.00.0184,10.700206753962783,0,1451,27.003445899379738,0,1451,Parque,Federal
0000.00.0185,9.200551343900758,0,1451,11.887663680220538,0,1451,Parque,Federal
0000.00.0186,2.790489317711923,0,1451,703.0944176430048,0,1451,Parque,Federal
0000.00.0187,6.758787043418332,0,1451,25.04548587181254,0,1451,Parque,Federal
0000.00.0188,1.228118538938663,0,1451,1.6498966230186078,0,1451,Parque,Federal
