codCnuc,nomeUC,duplicate,cat,esfera,idEnWikiData,enNameWiki,enWikiPage,idPtWikiData,ptNameWiki,ptWikiPage,lastVerification
0000.00.1612,FLORESTA NACIONAL DO IQUIRI,,Floresta,Federal,Q25221681,Iquiri National Forest,https://en.wikipedia.org/wiki/Iquiri_National_Forest,,,,18011
0000.00.1626,PARQUE NACIONAL NASCENTES DO LAGO JARI,,Parque,Federal,Q22074161,Nascentes do Lago Jari National Park,https://en.wikipedia.org/wiki/Nascentes_do_Lago_Jari_National_Park,Q22074161,Parque Nacional das Nascentes do Lago Jari,https://pt.wikipedia.org/wiki/Parque_Nacional_das_Nascentes_do_Lago_Jari,18011
0000.00.1628,RESERVA EXTRATIVISTA ITUXí,,Reserva Extrativista,Federal,Q10359672,Ituxi Extractive Reserve,https://en.wikipedia.org/wiki/Ituxi_Extractive_Reserve,Q10359672,Reserva Extrativista Ituxí,https://pt.wikipedia.org/wiki/Reserva_Extrativista_Itux%C3%AD,18011
0000.00.1633,PARQUE NACIONAL MAPINGUARI,,Parque,Federal,Q24915975,Mapinguari National Park,https://en.wikipedia.org/wiki/Mapinguari_National_Park,Q24915975,Parque Nacional Mapinguari,https://pt.wikipedia.org/wiki/Parque_Nacional_Mapinguari,18011
0000.00.1635,RESERVA EXTRATIVISTA RIO XINGU,,Reserva Extrativista,Federal,,,,Q10359692,Reserva Extrativista Rio Xingu,https://pt.wikipedia.org/wiki/Reserva_Extrativista_Rio_Xingu,18011
0000.00.1683,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MERUOCA,,Área de Proteção Ambiental,Federal,,,,,,,18011
0000.00.1808,RESERVA EXTRATIVISTA DE CASSURUBá,,Reserva Extrativista,Federal,Q10359700,Cassurubá Extractive Reserve,https://en.wikipedia.org/wiki/Cassurub%C3%A1_Extractive_Reserve,Q10359700,Reserva Extrativista de Cassurubá,https://pt.wikipedia.org/wiki/Reserva_Extrativista_de_Cassurub%C3%A1,18011
0000.00.1809,RESERVA EXTRATIVISTA PRAINHA DO CANTO VERDE,,Reserva Extrativista,Federal,Q10359688,Prainha do Canto Verde Extractive Reserve,https://en.wikipedia.org/wiki/Prainha_do_Canto_Verde_Extractive_Reserve,Q10359688,Reserva Extrativista Prainha do Canto Verde,https://pt.wikipedia.org/wiki/Reserva_Extrativista_Prainha_do_Canto_Verde,18011
0000.00.1810,RESERVA EXTRATIVISTA RENASCER,,Reserva Extrativista,Federal,,,,Q10359690,Reserva Extrativista Renascer,https://pt.wikipedia.org/wiki/Reserva_Extrativista_Renascer,18011
0000.00.1812,MONUMENTO NATURAL DO RIO SãO FRANCISCO,,Monumento Natural,Federal,Q10332133,Rio São Francisco Natural Monument,https://en.wikipedia.org/wiki/Rio_S%C3%A3o_Francisco_Natural_Monument,Q10332133,Monumento Natural do Rio São Francisco,https://pt.wikipedia.org/wiki/Monumento_Natural_do_Rio_S%C3%A3o_Francisco,18011
0000.00.1813,REFúGIO DE VIDA SILVESTRE DO RIO DOS FRADES,,Refúgio de Vida Silvestre,Federal,Q10358525,Rio dos Frades Wildlife Refuge,https://en.wikipedia.org/wiki/Rio_dos_Frades_Wildlife_Refuge,Q10358525,Refúgio de Vida Silvestre do Rio dos Frades,https://pt.wikipedia.org/wiki/Ref%C3%BAgio_de_Vida_Silvestre_do_Rio_dos_Frades,18011
0000.00.1880,REFúGIO DE VIDA SILVESTRE DE UNA,,Refúgio de Vida Silvestre,Federal,Q10358524,Una Wildlife Refuge,https://en.wikipedia.org/wiki/Una_Wildlife_Refuge,Q10358524,Refúgio de Vida Silvestre de Una,https://pt.wikipedia.org/wiki/Ref%C3%BAgio_de_Vida_Silvestre_de_Una,18011
0000.00.1907,REFÚGIO DE VIDA SILVESTRE DE BOA NOVA,,Refúgio de Vida Silvestre,Federal,Q28220611,Boa Nova Wildlife Refuge,https://en.wikipedia.org/wiki/Boa_Nova_Wildlife_Refuge,,,,18011
0000.00.1908,PARQUE NACIONAL DE BOA NOVA,,Parque,Federal,Q16586347,Boa Nova National Park,https://en.wikipedia.org/wiki/Boa_Nova_National_Park,Q16586347,Parque Nacional de Boa Nova,https://pt.wikipedia.org/wiki/Parque_Nacional_de_Boa_Nova,18011
0000.00.1909,PARQUE NACIONAL DA SERRA DAS LONTRAS,,Parque,Federal,Q18481080,Serra das Lontras National Park,https://en.wikipedia.org/wiki/Serra_das_Lontras_National_Park,,,,18011
0000.00.1910,PARQUE NACIONAL DO ALTO CARIRI,,Parque,Federal,Q18481085,Alto Cariri National Park,https://en.wikipedia.org/wiki/Alto_Cariri_National_Park,Q18481085,Parque Nacional do Alto Cariri,https://pt.wikipedia.org/wiki/Parque_Nacional_do_Alto_Cariri,18011
0000.00.1911,REFÚGIO DE VIDA SILVESTRE DE SANTA CRUZ,,Refúgio de Vida Silvestre,Federal,Q10358523,Santa Cruz Wildlife Refuge,https://en.wikipedia.org/wiki/Santa_Cruz_Wildlife_Refuge,Q10358523,Refúgio de Vida Silvestre de Santa Cruz,https://pt.wikipedia.org/wiki/Ref%C3%BAgio_de_Vida_Silvestre_de_Santa_Cruz,18011
0000.00.1912,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DAS ALGAS,,Área de Proteção Ambiental,Federal,Q16493393,Costa das Algas Environmental Protection Area,https://en.wikipedia.org/wiki/Costa_das_Algas_Environmental_Protection_Area,Q16493393,Área de Proteção Ambiental Costa das Algas,https://pt.wikipedia.org/wiki/%C3%81rea_de_Prote%C3%A7%C3%A3o_Ambiental_Costa_das_Algas,18011
0000.00.2069,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALIMERCINO GOMES CARVALHO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.2070,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA UNIÃO,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
0000.00.2071,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOM SOSSEGO II,,Reserva Particular do Patrimônio Natural,Federal,,,,,,,18011
