codcnuc,pa_name,pa_start_views,pa_end_views,page_creation
0000.00.0001,Anhatomirim Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0002,Cavernas do Peruaçu Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0007,Barra do Rio Mamanguape Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0010,Petrópolis Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0011,Serra da Mantiqueira Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0012,Serra de Tabatinga Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0013,Cairuçu Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0015,Fernando de Noronha Marine National Park,2015-07-01,2019-02-04,2006-06-01
0000.00.0017,Guaraqueçaba Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0018,Piaçabuçu Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0019,Delta do Parnaíba Environmental Protection Area,2015-07-01,2019-02-04,2017-02-09
0000.00.0021,Ibirapuitã Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0022,Igarapé Gelado Environmental Protection Area,2015-07-01,2019-02-04,2008-03-21
0000.00.0029,Serra da Ibiapaba Environmental Protection Area,2015-07-01,2019-02-04,2017-02-10
0000.00.0033,Cocorobó Area of Relevant Ecological Interest,2015-07-01,2019-02-04,2016-11-02
0000.00.0034,Ilhas Cagarras,2015-07-01,2019-02-04,2004-12-03
0000.00.0036,Ilha do Ameixal Area of Relevant Ecological Interest,2015-07-01,2019-02-04,2016-07-23
0000.00.0037,Ilhas Queimada Pequena e Queimada Grande Area of Relevant Ecological Interest,2015-07-01,2019-02-04,2016-11-20
0000.00.0038,Javari-Buriti Area of Relevant Ecological Interest,2015-07-01,2019-02-04,2016-10-19
0000.00.0040,Mata de Santa Genebra,2015-07-01,2019-02-04,2016-05-08
0000.00.0043,Biological Dynamics of Forest Fragments Project Area of Relevant Ecological Interest,2015-07-01,2019-02-04,2016-10-19
0000.00.0048,Aiuaba Ecological Station,2015-07-01,2019-02-04,2016-05-08
0000.00.0049,Anavilhanas National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0050,Aracuri-Esmeralda Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0051,Caracaraí Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0052,Carijós Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0053,Cuniã Ecological Station,2015-07-01,2019-02-04,2016-05-16
0000.00.0054,Guaraqueçaba Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0055,Iquê Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0057,Maracá Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0058,Maracá-Jipioca Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0059,Murici Ecological Station,2015-07-01,2019-02-04,2016-11-06
0000.00.0060,Niquiá Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0061,Pirapitinga Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0062,Taiamã Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0063,Tamoios Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0064,Tupinambás Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0065,Uruçui-Una Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0066,Castanhão Ecological Station,2015-07-01,2019-02-04,2017-02-21
0000.00.0067,Jari Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0068,Rio Acre Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0069,Seridó Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0070,Taim Ecological Station,2015-07-01,2019-02-04,2006-04-16
0000.00.0071,Tupiniquins Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0072,Juami-Japurá Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0073,Mico Leão Preto Ecological Station,2015-07-01,2019-02-04,2016-11-06
0000.00.0075,Serra das Araras Ecological Station,2015-07-01,2019-02-04,2008-03-21
0000.00.0076,Serra Geral do Tocantins Ecological Station,2015-07-01,2019-02-04,2016-05-28
0000.00.0082,Açu National Forest,2015-07-01,2019-02-04,2016-06-01
0000.00.0083,Altamira National Forest,2015-07-01,2019-02-04,2016-05-29
0000.00.0085,Balata-Tufari National Forest,2015-07-01,2019-02-04,2016-06-03
0000.00.0088,Carajás National Forest,2015-07-01,2019-02-04,2016-05-30
0000.00.0089,Caxiuanã National Forest,2015-07-01,2019-02-04,2014-07-29
0000.00.0091,Goytacazes National Forest,2015-07-01,2019-02-04,2016-10-23
0000.00.0095,Itaituba I National Forest,2015-07-01,2019-02-04,2016-05-29
0000.00.0096,Itaituba II National Forest,2015-07-01,2019-02-04,2016-05-29
0000.00.0097,Jacundá National Forest,2015-07-01,2019-02-04,2016-05-16
0000.00.0098,Lorena National Forest,2015-07-01,2019-02-04,2016-10-02
0000.00.0099,Mulata National Forest,2015-07-01,2019-02-04,2016-06-01
0000.00.0100,Nísia Floresta National Forest,2015-07-01,2019-02-04,2016-06-02
0000.00.0101,Pacotuba National Forest,2015-07-01,2019-02-04,2016-10-27
0000.00.0104,Pau-Rosa National Forest,2015-07-01,2019-02-04,2016-10-29
0000.00.0105,Ritápolis National Forest,2015-07-01,2019-02-04,2016-05-20
0000.00.0107,Santa Rosa do Purus National Forest,2015-07-01,2019-02-04,2016-06-21
0000.00.0109,Saracá-Taquera National Forest,2015-07-01,2019-02-04,2016-06-01
0000.00.0112,Tefé National Forest,2015-07-01,2019-02-04,2016-10-19
0000.00.0113,Amapá National Forest,2015-07-01,2019-02-04,2016-07-06
0000.00.0114,Amazonas National Forest,2015-07-01,2019-02-04,2016-05-20
0000.00.0116,Bom Futuro National Forest,2015-07-01,2019-02-04,2016-10-30
0000.00.0120,Macauã National Forest,2015-07-01,2019-02-04,2016-06-19
0000.00.0121,Purus National Forest,2015-07-01,2019-02-04,2016-09-08
0000.00.0122,Rio Preto National Forest,2015-07-01,2019-02-04,2016-05-21
0000.00.0124,Tapirapé-Aquiri National Forest,2015-07-01,2019-02-04,2016-05-30
0000.00.0126,Mapiá-Inauini National Forest,2015-07-01,2019-02-04,2016-09-08
0000.00.0127,NA,2015-07-01,2019-02-04,2004-01-03
0000.00.0129,Passa Quatro National Forest,2015-07-01,2019-02-25,2016-09-29
0000.00.0132,Restinga de Cabedelo National Forest,2015-07-01,2019-02-04,2017-03-22
0000.00.0133,São Francisco de Paula National Forest,2015-07-01,2019-02-04,2016-04-25
0000.00.0134,Três Barras National Forest,2015-07-01,2019-02-04,2017-02-17
0000.00.0135,Cavernas do Peruaçu National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0136,Amazônia National Park,2015-07-01,2019-02-04,2006-02-20
0000.00.0137,Chapada Diamantina National Park,2015-07-01,2019-02-04,2004-09-25
0000.00.0138,Chapada dos Guimarães National Park,2015-07-01,2019-02-04,2006-02-20
0000.00.0139,Chapada dos Veadeiros National Park,2015-07-01,2019-02-04,2006-02-20
0000.00.0140,Lagoa do Peixe National Park,2015-07-01,2019-02-04,2007-06-01
0000.00.0141,Jurubatiba Sandbank National Park,2015-07-01,2019-02-04,2005-07-02
0000.00.0143,Serra da Bodoquena National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0144,Serra da Canastra National Park,2015-07-01,2019-02-04,2006-02-21
0000.00.0145,Serra da Capivara National Park,2015-07-01,2019-02-04,2005-02-12
0000.00.0146,Serra das Confusões National Park,2015-07-01,2019-02-04,2016-06-09
0000.00.0149,Serra do Divisor National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0150,Serra do Itajaí National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0151,Serra do Pardo National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0152,Serra dos Órgãos National Park,2015-07-01,2019-02-04,2004-03-15
0000.00.0153,Serra Geral National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0154,Tijuca Forest,2015-07-01,2019-02-04,2003-10-21
0000.00.0155,Emas National Park,2015-07-01,2019-02-04,2006-02-20
0000.00.0156,Nascentes do Rio Parnaíba National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0157,Sempre Vivas National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0160,Caparaó National Park,2015-07-01,2019-02-04,2006-02-20
0000.00.0161,Ilha Grande National Park,2015-07-01,2019-02-04,2006-02-21
0000.00.0162,Jericoacoara National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0163,Pacaás Novos National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0164,Saint-Hilaire/Lange National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0165,São Joaquim National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0166,Sete Cidades National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0167,Ubajara National Park,2015-07-01,2019-02-04,2007-03-12
0000.00.0168,Araguaia National Park,2015-07-01,2019-02-04,2006-02-20
0000.00.0169,Cabo Orange National Park,2015-07-01,2019-02-04,2006-02-20
0000.00.0170,Catimbau National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0172,Iguaçu National Park,2015-07-01,2019-02-04,2004-11-27
0000.00.0173,Jaú National Park,2015-07-01,2019-02-04,2003-11-14
0000.00.0174,Monte Roraima National Park,2015-07-01,2019-02-04,2016-06-07
0000.00.0175,Pantanal Matogrossense National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0176,Pau Brasil National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0177,Pico da Neblina National Park,2015-07-01,2019-02-04,2005-11-21
0000.00.0178,Superagüi National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0179,Viruá National Park,2015-07-01,2019-02-04,2008-03-21
0000.00.0180,Lençóis Maranhenses National Park,2015-07-01,2019-02-04,2006-02-21
0000.00.0182,Monte Pascoal National Park,2015-07-01,2019-02-04,2016-05-04
0000.00.0183,Grande Sertão Veredas National Park,2015-07-01,2019-02-04,2006-02-20
0000.00.0184,Itatiaia National Park,2015-07-01,2019-02-04,2004-05-11
0000.00.0185,Abrolhos Marine National Park,2015-07-01,2019-02-04,2006-02-20
