cod_cnuc,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat,esfera
0000.00.0001,0.8837209302325582,1,1420,1.6140845070422536,0,1420,Área de Proteção Ambiental,Federal
0000.00.0002,1.2845070422535212,0,1420,0.4704225352112676,0,1420,Área de Proteção Ambiental,Federal
0000.00.0007,0.7963354474982381,1,1420,2.473239436619718,0,1420,Área de Proteção Ambiental,Federal
0000.00.0010,0.7561663143058492,1,1420,0.91619718309859155,0,1420,Área de Proteção Ambiental,Federal
0000.00.0011,0.9528169014084507,0,1420,1.4619718309859155,0,1420,Área de Proteção Ambiental,Federal
0000.00.0013,0.9922535211267606,0,1420,0.7288732394366197,0,1420,Área de Proteção Ambiental,Federal
0000.00.0016,0.9584507042253522,0,1420,0.16690140845070423,1,1421,Área de Proteção Ambiental,Federal
0000.00.0017,1.0739957716701902,1,1420,2.7253521126760565,0,1420,Área de Proteção Ambiental,Federal
0000.00.0019,1.4223826714801444,0,831,5.128787878787879,0,132,Área de Proteção Ambiental,Federal
0000.00.0020,0.7549295774647887,0,1420,7.827464788732394,0,1420,Área de Proteção Ambiental,Federal
0000.00.0021,0.5539112050739958,1,1420,1.626056338028169,0,1420,Área de Proteção Ambiental,Federal
0000.00.0027,0.657968970380818,2,1420,1.2225352112676056,0,1420,Área de Proteção Ambiental,Federal
0000.00.0030,0.269683257918552,0,1105,0.2952783650458069,1,1420,Área de Relevante Interesse Ecológico,Federal
0000.00.0032,0.7653985507246377,1,1105,0.48273431994362226,1,1420,Área de Relevante Interesse Ecológico,Federal
0000.00.0034,7.582394366197183,0,1420,30.03098591549296,0,1420,Monumento Natural,Federal
0000.00.0036,0.4321705426356589,0,1032,0.40492957746478875,0,1420,Área de Relevante Interesse Ecológico,Federal
0000.00.0037,17.047149122807017,0,912,158.27726952850105,0,1421,Área de Relevante Interesse Ecológico,Federal
0000.00.0038,0.4088983050847458,0,944,0.4975334742776603,1,1420,Área de Relevante Interesse Ecológico,Federal
0000.00.0040,1.2545126353790614,0,1108,5.6105633802816905,0,1420,Área de Relevante Interesse Ecológico,Federal
0000.00.0043,0.6970338983050848,0,944,0.3967582804792107,1,1420,Área de Relevante Interesse Ecológico,Federal
0000.00.0049,6.859154929577465,0,1420,17.627023223082336,0,1421,Parque,Federal
0000.00.0050,0.6964788732394366,0,1420,0.7026074700493306,1,1420,Estação Ecológica,Federal
0000.00.0052,0.7577464788732394,0,1420,1.9760394644115575,1,1420,Estação Ecológica,Federal
0000.00.0053,0.8653321201091901,1,1100,0.5799859055673009,1,1420,Estação Ecológica,Federal
0000.00.0054,0.6617336152219874,1,1420,2.4190140845070425,0,1420,Estação Ecológica,Federal
0000.00.0056,0.7612676056338028,0,1420,0.43028169014084505,0,1420,Estação Ecológica,Federal
0000.00.0057,1.6730091613812543,1,1420,5.750879662209711,0,1421,Estação Ecológica,Federal
0000.00.0058,0.7484143763213531,1,1420,1.3735024665257223,1,1420,Estação Ecológica,Federal
0000.00.0059,0.8345945945945946,1,926,1.2973925299506694,1,1420,Estação Ecológica,Federal
0000.00.0062,1.2001409443269908,1,1420,1.0485915492957747,0,1420,Estação Ecológica,Federal
0000.00.0063,0.8274647887323944,0,1420,1.158450704225352,0,1420,Estação Ecológica,Federal
0000.00.0064,0.6485915492957747,0,1420,0.6246478873239436,0,1420,Estação Ecológica,Federal
0000.00.0067,0.8245243128964059,1,1420,0.9619718309859155,0,1420,Estação Ecológica,Federal
0000.00.0068,0.8211267605633803,0,1420,1.2338028169014084,0,1420,Estação Ecológica,Federal
0000.00.0070,1.8653981677237492,1,1420,30.817605633802817,0,1420,Estação Ecológica,Federal
0000.00.0071,0.7640845070422535,0,1420,1.4985915492957746,0,1420,Estação Ecológica,Federal
0000.00.0072,0.7265680056377731,1,1420,0.3974630021141649,1,1420,Estação Ecológica,Federal
0000.00.0073,0.7264864864864865,1,926,1.1190140845070422,0,1420,Estação Ecológica,Federal
0000.00.0074,0.5971830985915493,0,1420,4.23169014084507,0,1420,Estação Ecológica,Federal
0000.00.0075,1.0176180408738549,1,1420,3.8366197183098594,0,1420,Estação Ecológica,Federal
0000.00.0076,0.9310661764705882,0,1088,3.921830985915493,0,1420,Estação Ecológica,Federal
0000.00.0085,0.910351201478743,0,1082,0.39057002111189304,0,1421,Floresta,Federal
