cod_cnuc,mean.eng,na_rows.eng,total_days.eng,mean.pt,na_rows.pt,total_days.pt,cat,esfera
0000.00.0154,74.0638783269962,0,1315,68.95817490494296,0,1315,Parque,Federal
0000.00.0155,11.292015209125475,0,1315,33.64714828897338,0,1315,Parque,Federal
0000.00.0156,3.3072243346007606,0,1315,11.695057034220532,0,1315,Parque,Federal
0000.00.0157,1.858555133079848,0,1315,8.675285171102662,0,1315,Parque,Federal
0000.00.0160,5.429657794676806,0,1315,46.52015209125475,0,1315,Parque,Federal
0000.00.0161,3.0593155893536124,0,1315,13.787072243346008,0,1315,Parque,Federal
0000.00.0162,13.705703422053231,0,1315,16.868441064638784,0,1315,Parque,Federal
0000.00.0163,2.895057034220532,0,1315,12.738403041825094,0,1315,Parque,Federal
0000.00.0164,1.5049429657794677,0,1315,7.055513307984791,0,1315,Parque,Federal
0000.00.0165,2.580228136882129,0,1315,9.243346007604563,0,1315,Parque,Federal
0000.00.0166,5.057034220532319,0,1315,32.46768060836502,0,1315,Parque,Federal
0000.00.0167,2.8106463878326995,0,1315,14.009885931558935,0,1315,Parque,Federal
0000.00.0168,6.012927756653992,0,1315,7.66615969581749,0,1315,Parque,Federal
0000.00.0169,3.8243346007604564,0,1315,6.94828897338403,0,1315,Parque,Federal
0000.00.0170,2.3163498098859314,0,1315,58.63650190114068,0,1315,Parque,Federal
0000.00.0172,36.64562737642586,0,1315,76.79239543726236,0,1315,Parque,Federal
0000.00.0173,13.404562737642586,0,1315,17.238022813688215,0,1315,Parque,Federal
0000.00.0174,8.271325796505653,0,973,11.899619771863119,0,1315,Parque,Federal
0000.00.0175,8.504942965779467,0,1315,29.784790874524713,0,1315,Parque,Federal
0000.00.0176,2.053231939163498,0,1315,2.0499576629974596,2,1183,Parque,Federal
0000.00.0177,6.727756653992396,0,1315,26.63726235741445,0,1315,Parque,Federal
0000.00.0178,1.8007604562737642,0,1315,12.345247148288973,0,1315,Parque,Federal
0000.00.0179,1.5422053231939163,0,1315,1.6365173288250212,0,1183,Parque,Federal
0000.00.0180,264.51026615969585,0,1315,114.23117870722433,0,1315,Parque,Federal
0000.00.0182,2.1300893743793448,0,1007,12.050950570342206,0,1315,Parque,Federal
0000.00.0183,4.892015209125475,0,1315,10.381749049429658,0,1315,Parque,Federal
0000.00.0184,10.817490494296578,0,1315,20.870722433460077,0,1315,Parque,Federal
0000.00.0185,9.250190114068442,0,1315,11.664638783269963,0,1315,Parque,Federal
0000.00.0188,1.187832699619772,0,1315,1.6060836501901141,0,1315,Parque,Federal
0000.00.0189,1.7057034220532319,0,1315,2.91254752851711,0,1315,Parque,Federal
0000.00.0190,2.765019011406844,0,1315,7.760456273764259,0,1315,Refúgio de Vida Silvestre,Federal
0000.00.0191,1.35893536121673,0,1315,3.227376425855513,0,1315,Reserva Biológica,Federal
0000.00.0192,0.6050761421319797,0,985,1.031616982836495,1,1108,Reserva Biológica,Federal
0000.00.0193,0.6075949367088608,1,712,1.6844106463878328,0,1315,Reserva Biológica,Federal
0000.00.0194,1.5269961977186313,0,1315,0.8802880288028803,1,1112,Reserva Biológica,Federal
0000.00.0195,0.7376425855513308,0,1315,2.711787072243346,0,1315,Reserva Biológica,Federal
0000.00.0196,0.636986301369863,1,1315,1.8386605783866057,1,1315,Reserva Biológica,Federal
0000.00.0197,1.1575342465753424,1,1315,2.9244604316546763,0,1112,Reserva Biológica,Federal
0000.00.0198,0.7975646879756468,1,1315,1.7506750675067506,0,1111,Reserva Biológica,Federal
0000.00.0199,0.7422053231939163,0,1315,1.815217391304348,1,1105,Reserva Biológica,Federal
0000.00.0200,0.8424657534246576,1,1315,3.5224334600760456,0,1315,Reserva Biológica,Federal
0000.00.0201,1.0349809885931558,0,1315,2.379467680608365,0,1315,Reserva Biológica,Federal
0000.00.0202,1.3414448669201522,0,1315,3.041825095057034,0,1315,Reserva Biológica,Federal
0000.00.0204,0.664638783269962,0,1315,1.1080669710806696,1,1315,Reserva Biológica,Federal
0000.00.0205,0.7163498098859316,0,1315,0.8097412480974124,1,1315,Reserva Biológica,Federal
0000.00.0207,1.1666666666666667,1,1315,2.5866425992779782,0,1108,Reserva Biológica,Federal
0000.00.0208,0.8927756653992396,0,1315,1.1978691019786911,1,1315,Reserva Biológica,Federal
0000.00.0209,0.8159695817490494,0,1315,0.9771515613099772,2,1315,Reserva Biológica,Federal
0000.00.0210,0.9474885844748858,1,1315,0.8670886075949367,0,1106,Reserva Biológica,Federal
0000.00.0211,0.6699619771863118,0,1315,0.9025875190258752,1,1315,Reserva Biológica,Federal
0000.00.0212,2.0638783269961976,0,1315,14.680608365019012,0,1315,Reserva Biológica,Federal
0000.00.0213,1.69558599695586,1,1315,1.1728172817281728,0,1111,Reserva Biológica,Federal
0000.00.0214,0.7384030418250951,0,1315,4.234220532319392,0,1315,Reserva Biológica,Federal
0000.00.0215,4.583269961977186,0,1315,7.84106463878327,0,1315,Reserva Biológica,Federal
0000.00.0216,1.0874872838250254,1,984,0.7813911472448057,1,1108,Reserva Biológica,Federal
0000.00.0217,1.440320962888666,0,997,3.184931506849315,1,1315,Reserva Biológica,Federal
0000.00.0220,0.6255980861244019,1,837,0.5464231354642314,1,1315,Reserva Extrativista,Federal
0000.00.0223,0.3417142857142857,1,876,0.4216133942161339,1,1315,Reserva Extrativista,Federal
0000.00.0227,1.4226125137211856,0,911,0.4931506849315068,1,1315,Reserva Extrativista,Federal
0000.00.0228,0.35193621867881547,0,878,0.2625570776255708,1,1315,Reserva Extrativista,Federal
0000.00.0230,1.6095808383233532,1,836,1.6035007610350076,1,1315,Reserva Extrativista,Federal
0000.00.0231,0.45485714285714285,0,875,1.6560121765601217,1,1315,Reserva Extrativista,Federal
0000.00.0232,6.16926272066459,1,964,1.1171102661596959,0,1315,Reserva Extrativista,Federal
0000.00.0233,0.5016949152542373,0,885,1.2281368821292775,0,1315,Reserva Extrativista,Federal
0000.00.0234,0.5420023014959724,0,869,1.1460076045627376,0,1315,Reserva Extrativista,Federal
0000.00.0235,1.1970954356846473,0,964,0.5722983257229832,1,1315,Reserva Extrativista,Federal
0000.00.0239,0.4647550776583035,0,837,0.38918507235338917,2,1315,Reserva Extrativista,Federal
0000.00.0240,0.9234234234234234,0,888,0.989345509893455,1,1315,Reserva Extrativista,Federal
0000.00.0242,0.4161979752530934,1,890,0.4680365296803653,1,1315,Reserva Extrativista,Federal
0000.00.0243,0.7594070695553021,0,877,0.5795887281035796,2,1315,Reserva Extrativista,Federal
0000.00.0244,1.5890410958904109,1,950,3.828006088280061,1,1315,Reserva Extrativista,Federal
0000.00.0245,0.52,1,926,0.9916349809885932,0,1315,Reserva Extrativista,Federal
0000.00.0246,1.3611428571428572,1,876,1.7328767123287672,1,1315,Reserva Extrativista,Federal
0000.00.0247,1.3725714285714286,1,876,1.322924600152323,2,1315,Reserva Extrativista,Federal
0000.00.0248,0.9018264840182648,0,876,0.7351598173515982,1,1315,Reserva Extrativista,Federal
0000.00.0249,1.536,1,876,1.4010654490106544,1,1315,Reserva Extrativista,Federal
0000.00.0250,0.4112820512820513,1,976,0.314828897338403,0,1315,Reserva Extrativista,Federal
0000.00.0251,2.163615560640732,1,875,1.9125475285171103,0,1315,Reserva Extrativista,Federal
0000.00.0252,1.013360739979445,1,974,1.2958174904942965,0,1315,Reserva Extrativista,Federal
0000.00.0253,0.5068807339449541,2,874,0.7969581749049429,0,1315,Reserva Extrativista,Federal
0000.00.0254,0.601472134595163,0,951,0.7732115677321156,1,1315,Reserva Extrativista,Federal
0000.00.0255,1.3452868852459017,0,976,3.463470319634703,1,1315,Reserva Extrativista,Federal
0000.00.0256,1.465648854961832,2,919,2.3424657534246576,1,1315,Reserva Extrativista,Federal
0000.00.0257,0.7943632567849687,0,958,1.4182509505703422,0,1315,Reserva Extrativista,Federal
0000.00.0259,0.7074285714285714,0,875,1.064638783269962,0,1315,Reserva Extrativista,Federal
0000.00.0260,1.9526748971193415,2,974,1.6557501904036558,2,1315,Reserva Extrativista,Federal
0000.00.0261,1.6376344086021506,2,932,4.118050266565118,2,1315,Estação Ecológica,Federal
0000.00.0262,1.7825095057034221,0,1315,5.279087452471483,0,1315,Parque,Federal
0000.00.0264,1.5416666666666667,0,984,1.228233305156382,0,1183,Parque,Federal
0000.00.0267,1.7379032258064515,0,992,2.199324324324324,0,1184,Parque,Federal
0000.00.0270,0.7614424410540915,0,721,0.5844594594594594,2,298,Floresta,Federal
0000.00.0271,1.731358529111338,2,981,1.3082191780821917,1,1315,Floresta,Federal
0000.00.0272,5.497338403041825,0,1315,41.78326996197718,0,1315,Parque,Federal
0000.00.0274,0.8957189901207464,0,911,0.5342465753424658,1,1315,Reserva Extrativista,Federal
0000.00.0275,0.6717440974866717,2,1315,5.257794676806084,0,1315,Reserva Biológica,Federal
0000.00.0276,0.44227005870841485,0,1022,0.9955035971223022,0,1112,Reserva Biológica,Federal
0000.00.0277,3.1688212927756654,0,1315,5.816730038022814,0,1315,Parque,Federal
0000.00.0282,1.516842105263158,1,951,1.7070015220700152,1,1315,Reserva Extrativista,Federal
0000.00.0284,2.660184237461617,0,977,2.2761824324324325,0,1184,Parque,Federal
0000.00.1517,0.7943632567849687,0,958,1.4182509505703422,0,1315,Reserva Extrativista,Federal
0000.00.1521,2.0654970760233917,1,856,4.248286367098248,2,1315,Área de Proteção Ambiental,Federal
0000.00.1563,0.9168377823408624,0,974,0.571972581873572,2,1315,Reserva Extrativista,Federal
0000.00.1564,0.24549549549549549,0,888,0.9193302891933028,1,1315,Reserva Extrativista,Federal
0000.00.1606,0.6108597285067874,1,885,0.6022813688212928,0,1315,Reserva Extrativista,Federal
0000.00.1626,1.4488752556237219,0,978,0.9425190194420964,0,1183,Parque,Federal
0000.00.1628,1.9831081081081081,1,889,1.3576864535768645,1,1315,Reserva Extrativista,Federal
0000.00.1633,2.3807574206755375,0,977,1.9332206255283177,0,1183,Parque,Federal
0000.00.1808,1.1515151515151516,0,957,1.5072243346007606,0,1315,Reserva Extrativista,Federal
0000.00.1809,0.8599088838268792,0,878,1.0220532319391635,0,1315,Reserva Extrativista,Federal
0000.00.1812,1.731041456016178,1,990,7.716349809885932,0,1315,Monumento Natural,Federal
0000.00.1813,0.5988023952095808,0,835,0.870722433460076,0,1315,Refúgio de Vida Silvestre,Federal
0000.00.1880,0.7449101796407186,0,835,0.8091254752851711,0,1315,Refúgio de Vida Silvestre,Federal
0000.00.1908,1.5350515463917527,0,970,2.4434121621621623,0,1184,Parque,Federal
0000.00.1909,1.3048403707518024,0,971,1.8424657534246576,1,1315,Parque,Federal
0000.00.1910,2.0948453608247424,0,970,4.409885931558935,0,1315,Parque,Federal
0000.00.1911,0.4658682634730539,0,835,0.7815829528158296,1,1315,Refúgio de Vida Silvestre,Federal
0000.00.1912,1.9444444444444444,2,830,1.6062452399086062,2,1315,Área de Proteção Ambiental,Federal
0000.00.2633,2.03041825095057,0,1315,4.636501901140685,0,1315,Parque,Federal
0000.00.2634,0.6858316221765913,0,974,0.6471647164716472,1,1112,Reserva Biológica,Federal
0000.00.2874,1.4342379958246347,0,958,3.500380228136882,0,1315,Parque,Federal
0000.00.3136,3.5692148760330578,0,968,5.779374471682164,0,1183,Parque,Federal
0000.00.3137,1.8443983402489628,0,964,2.3133445945945947,0,1184,Parque,Federal
